query,gui_indexes,relevance
a list of songs,"[53287, 55483, 40380, 53292, 53289, 9680, 40384, 70394, 9981, 26972, 47456, 9672, 9681, 852, 29732, 9676, 61572, 54771, 48993, 53282]","[1, 2, 2, 0, 0, 1, 2, 1, 1, 1, 0, 0, 0, 2, 2, 1, 1, 2, 1, 0]"
Information with sharing and saving option,"[53446, 36879, 62888, 57917, 61684, 31172, 38513, 67334, 34569, 7260, 42402, 67673, 42407, 49336, 3772, 67440, 49332, 47400, 23149, 49344]","[2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
"Shop for Men's,Women's and Kids","[3526, 55910, 9506, 23941, 19033, 53496, 18147, 17860, 25923, 39575, 12421, 67659, 3495, 12424, 33044, 24213, 479, 2453, 34549, 11267]","[0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 0, 1, 2, 0, 0, 0]"
home page of dictionary with word of day,"[45665, 61345, 61333, 63971, 7799, 61344, 48413, 2266, 61339, 61315, 35614, 71905, 27819, 71902, 30659, 61348, 11593, 71913, 8146, 28481]","[0, 2, 2, 1, 2, 2, 0, 1, 2, 2, 1, 1, 0, 0, 0, 2, 1, 1, 1, 1]"
It display the Map with search bar,"[65263, 52816, 49178, 32239, 32246, 43743, 60544, 66555, 52129, 9978, 66563, 54527, 9970, 48325, 62878, 14689, 28540, 29647, 60543, 30729]","[0, 1, 0, 0, 0, 1, 2, 2, 1, 0, 2, 0, 0, 2, 1, 1, 1, 1, 2, 0]"
Tiny Scanner,"[60292, 66873, 64675, 6585, 42569, 58984, 1764, 42568, 33692, 6787, 62591, 66344, 60293, 33506, 6134, 64676, 59411, 60307, 60291, 68681]","[2, 1, 2, 2, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 1, 0, 0, 0]"
Login with radio button with calendar,"[22878, 59581, 9559, 47741, 59561, 59570, 65193, 35133, 22542, 59568, 35129, 29481, 71519, 35128, 9149, 71512, 33336, 64081, 54640, 71515]","[2, 1, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
sign up with welcome Bonus,"[34735, 66116, 53432, 46962, 53421, 36003, 36001, 34739, 53258, 63920, 41205, 63931, 15879, 13707, 57558, 10119, 35776, 1851, 42979, 43632]","[2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
a news and an advertisement,"[54133, 65048, 60725, 71379, 26746, 10078, 13837, 7743, 16515, 68871, 10090, 10809, 1565, 64701, 51334, 68882, 7758, 68816, 68886, 1570]","[2, 0, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 0, 0, 1, 0, 0, 1, 1]"
a sreen to enter the personal details,"[57264, 20780, 2783, 20785, 31142, 32392, 58129, 15665, 66701, 23654, 65494, 68242, 58266, 53041, 50422, 20850, 37508, 19835, 48806, 49259]","[2, 2, 2, 2, 1, 0, 1, 1, 0, 0, 1, 2, 2, 0, 0, 0, 1, 0, 0, 0]"
displays the latest news in page,"[53555, 47802, 23219, 23820, 20452, 15067, 3318, 54133, 36328, 39554, 71379, 70822, 56160, 65007, 68523, 18565, 1205, 16515, 36310, 42736]","[2, 0, 0, 0, 0, 0, 2, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
celebrity news,"[8198, 13837, 64845, 54133, 71379, 66386, 16515, 50096, 1570, 36553, 1565, 39166, 62454, 43051, 35531, 62518, 18870, 62374, 41590, 43824]","[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 1]"
2D graph with a point and its dimensions,"[61057, 68768, 54502, 54499, 64823, 2182, 12651, 36669, 54498, 28616, 54506, 18785, 54503, 51884, 20334, 28171, 10143, 20329, 28178, 44202]","[2, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]"
blood glucose tracker side bar,"[47499, 71582, 47505, 5803, 47502, 47504, 4688, 47503, 58146, 39596, 64939, 57507, 39600, 51782, 8520, 4503, 69142, 37821, 5816, 68962]","[2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
Japanese anime books and ads,"[50541, 26793, 24714, 22216, 14602, 40153, 1616, 45340, 4000, 22219, 25345, 24769, 61351, 52517, 6968, 39171, 57209, 39173, 25397, 62637]","[2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]"
"weather details with temperature, pressure and relative humidity","[53167, 35327, 36325, 66930, 54919, 25852, 46540, 28349, 63695, 26022, 65446, 51071, 36332, 54924, 29312, 58863, 54533, 68011, 37413, 25849]","[2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 2, 0]"
details for disclaimer,"[39263, 63619, 62943, 24293, 46418, 32973, 39211, 62940, 46997, 39212, 40654, 41826, 70874, 40640, 10772, 38067, 40641, 67984, 49259, 16662]","[2, 0, 0, 2, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
information description with login button,"[13352, 32639, 63601, 69952, 42470, 63599, 12865, 5593, 71511, 61236, 61528, 29177, 7293, 16266, 61167, 27758, 46884, 19432, 25112, 33358]","[2, 2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 1, 1, 1, 1, 0]"
google map with details,"[12353, 13254, 57641, 2543, 13257, 56256, 2210, 70756, 63609, 2211, 60544, 63614, 2209, 12388, 42723, 53736, 2754, 16910, 56275, 24475]","[2, 1, 0, 0, 1, 0, 2, 2, 2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 0, 1]"
2D model of solunar clock,"[54641, 54642, 24037, 54643, 29683, 31205, 24042, 24027, 44683, 3856, 30607, 69797, 38688, 23601, 47241, 3294, 17913, 47254, 18248, 40998]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0]"
add location by pinning the place,"[40686, 1469, 10610, 45909, 64888, 28150, 3924, 64897, 61703, 43193, 64891, 28124, 59525, 71246, 8574, 50631, 3920, 62872, 43184, 9898]","[2, 1, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1, 2, 2, 1, 1]"
various emojis,"[62124, 39106, 26243, 4205, 64948, 22928, 61714, 10909, 17567, 38349, 46156, 6854, 13442, 38363, 38291, 71, 2524, 70498, 37295, 70500]","[2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
football match details with upcoming match information,"[30357, 53563, 43102, 51476, 24991, 13890, 57926, 13906, 57925, 54752, 13896, 57923, 13895, 15554, 51475, 13915, 13898, 43109, 10622, 13903]","[1, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
"SOY LUNA MUSICA-Disney Channel Latin America, all shows and broadcast musical TV series","[37236, 37233, 37232, 56991, 31527, 6257, 9015, 35694, 61463, 56998, 11384, 11383, 70058, 61538, 3989, 26031, 3991, 56994, 35701, 70056]","[2, 2, 2, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
informations about Grace Chan,"[17255, 30994, 30990, 37862, 70405, 37842, 50993, 39318, 545, 37852, 29521, 27807, 66725, 36565, 39317, 61853, 1080, 61860, 29515, 43064]","[2, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0]"
UI for share and add location screen,"[12355, 40348, 39237, 59781, 40346, 41623, 68076, 22080, 7653, 40349, 12162, 41625, 31522, 15312, 49233, 18958, 12167, 15505, 39571, 12147]","[0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 2]"
Months of a year from January to November with a radio button to choose,"[15298, 28181, 9559, 59581, 42782, 18499, 25408, 48591, 11977, 60445, 64533, 15356, 51056, 11640, 57993, 11642, 12409, 56729, 60976, 43422]","[2, 1, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
emoticons of yellow faces to choose from,"[30432, 11632, 41700, 31179, 30433, 55875, 68987, 31181, 37354, 41478, 30431, 22255, 72194, 33561, 28001, 60631, 13309, 18792, 61838, 35887]","[2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1]"
Ui for user profile,"[47364, 40348, 39237, 39606, 40346, 41623, 67745, 49799, 24785, 1583, 10203, 40556, 3701, 10217, 7740, 7653, 40818, 62147, 60542, 40349]","[1, 0, 0, 1, 0, 0, 1, 2, 0, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 0]"
word levels,"[4252, 4250, 12117, 63973, 57064, 48413, 23179, 54891, 23247, 18097, 45690, 35547, 19209, 29261, 11674, 61828, 29265, 37849, 57067, 29258]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]"
contact details form,"[66701, 3372, 65494, 25713, 17044, 2837, 6861, 15513, 46777, 29981, 64300, 10286, 64299, 59279, 66696, 15867, 54543, 15038, 39054, 15043]","[0, 1, 2, 1, 0, 1, 2, 2, 0, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
List of blocked accounts and contacts,"[35058, 44157, 27392, 66872, 3444, 63748, 31533, 44159, 44156, 43097, 2594, 10590, 19618, 44152, 37277, 48823, 44153, 52021, 57178, 44151]","[2, 2, 0, 2, 2, 1, 1, 2, 2, 0, 2, 1, 1, 2, 1, 0, 1, 0, 1, 1]"
photo preview app with zoomIn zoomOut options,"[49337, 69708, 5847, 18795, 13306, 20273, 49456, 20057, 20276, 22596, 36316, 18796, 22591, 18799, 19983, 36321, 51574, 35897, 31109, 19988]","[2, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
page that display the questions  with options,"[30849, 56520, 37796, 50286, 59478, 66489, 4505, 59473, 37795, 7519, 30245, 59472, 59470, 44436, 37797, 2274, 71647, 52303, 6888, 60424]","[2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0]"
near  important places,"[33755, 12189, 68289, 66553, 66552, 9834, 20147, 3370, 20146, 40678, 52949, 62260, 15689, 12394, 9909, 61696, 8575, 7384, 69000, 47302]","[2, 2, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 2, 1, 2, 0, 0]"
video editor,"[63264, 27481, 13339, 37560, 27482, 14191, 34997, 60343, 60347, 27485, 53012, 27484, 52864, 16, 37568, 63266, 47530, 60346, 63717, 3789]","[0, 2, 0, 0, 2, 0, 1, 2, 0, 1, 0, 1, 0, 2, 0, 2, 0, 2, 0, 0]"
sports news overview,"[21660, 19082, 8522, 8775, 55542, 55540, 10428, 25989, 5907, 44253, 25066, 57889, 48736, 33717, 57896, 10803, 55534, 20718, 44257, 21900]","[2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
Advertisment of FedEx,"[28977, 57903, 57901, 57899, 57900, 57898, 10569, 39664, 68224, 14416, 28977, 28977, 24191, 72218, 24189, 24194, 24187, 24186, 24185, 24184]","[2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0]"
Most demanded news and article,"[56393, 7957, 29144, 5184, 56396, 20344, 56394, 1558, 37324, 16503, 15775, 279, 2850, 15776, 2856, 41495, 37326, 36173, 7959, 67984]","[2, 1, 1, 1, 0, 1, 0, 1, 2, 1, 2, 0, 0, 0, 0, 2, 0, 2, 0, 2]"
Tabs for exams and grading,"[49646, 70485, 49647, 70483, 27586, 22375, 66048, 63517, 28136, 70467, 43151, 27578, 42245, 63515, 35270, 66237, 69218, 6452, 59312, 52136]","[2, 1, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
List Item with Tab Color,"[67394, 6671, 64210, 26169, 64203, 60064, 1195, 1959, 33037, 52235, 72139, 1190, 1201, 55357, 15176, 72138, 42872, 34177, 1192, 65514]","[2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0]"
learning and play piano online,"[47226, 32132, 35079, 71074, 31170, 32139, 19219, 60569, 28365, 35826, 66742, 35469, 54361, 50056, 58940, 11744, 69231, 27261, 32130, 39479]","[2, 2, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sign-in with Facebook data in which name or email address included,"[36127, 58933, 29607, 33548, 58921, 50091, 53687, 55575, 38578, 63986, 45308, 66551, 55571, 45119, 36900, 37145, 8660, 12896, 12171, 64586]","[2, 2, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Information screen to add a tabatas in a tabatas list app,"[49331, 39356, 39361, 49328, 49330, 37261, 61110, 66979, 46524, 10622, 41333, 8653, 71653, 29729, 57846, 41306, 67334, 43988, 66025, 29727]","[2, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Review with description,"[33340, 40724, 27677, 33086, 26201, 48072, 45577, 49879, 48526, 70078, 35794, 48065, 55005, 8171, 48066, 70325, 70081, 48008, 23767, 45100]","[2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2]"
NBC news,"[43825, 52375, 47616, 41777, 41778, 2199, 5202, 14239, 41779, 68878, 37011, 47623, 66596, 38418, 66586, 54133, 17577, 68875, 17574, 68884]","[0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 2, 1, 0]"
starting screen of Amino,"[70183, 28260, 41430, 53935, 10273, 48501, 47327, 24606, 59942, 30211, 70178, 119, 70191, 10274, 44996, 2018, 10648, 30214, 70181, 52920]","[0, 2, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0]"
income and expenses reports,"[26054, 8305, 20843, 49399, 67407, 55790, 67405, 35874, 49566, 64802, 26056, 43716, 64189, 53341, 43700, 31134, 43696, 43708, 67411, 35892]","[2, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 2, 2, 1, 2, 2, 2, 1, 1, 1]"
"Delivery details input boxes for address and buttons for home, work or other","[66919, 66923, 15866, 66920, 2005, 51945, 33699, 43208, 50090, 56435, 51940, 59549, 62030, 51942, 28235, 4964, 24688, 12061, 14913, 50930]","[2, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1]"
a language window with many options,"[70036, 11371, 29111, 19585, 23514, 23517, 31874, 27511, 57061, 44038, 7653, 2947, 27510, 34535, 14571, 1415, 65542, 62717, 45874, 21600]","[2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 2]"
search bar with add a favorite,"[30002, 18215, 11480, 9978, 62466, 21772, 25074, 21770, 23265, 14439, 57528, 18218, 17489, 27429, 56670, 20766, 33458, 62460, 69261, 28957]","[2, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0]"
a panel app window with its points,"[25084, 65150, 25088, 19585, 53258, 30838, 18289, 25089, 67556, 14494, 30846, 36074, 14492, 44775, 52283, 43126, 56042, 53261, 27510, 65148]","[2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
"feedback request, whether you like it, with options yes or feedback and emojis","[52143, 36415, 59334, 10959, 18829, 13359, 57478, 17063, 41581, 56895, 31832, 37569, 16326, 434, 53376, 63986, 50202, 3306, 26955, 37485]","[0, 1, 1, 1, 1, 1, 1, 0, 2, 2, 0, 2, 0, 0, 2, 0, 2, 0, 2, 1]"
best food recipes,"[45732, 21272, 14275, 8167, 8047, 56496, 65091, 68771, 60609, 9271, 60611, 42422, 31441, 42421, 13722, 43424, 6391, 60614, 14226, 9269]","[2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 1, 0, 2, 1]"
privacy policy with types of collected information,"[8453, 8017, 32518, 68681, 17729, 11203, 56471, 44388, 66512, 8573, 37511, 11824, 44917, 11497, 12607, 60480, 51365, 48852, 65805, 20727]","[2, 0, 0, 2, 2, 0, 2, 2, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]"
podcast episode screen with download option,"[37192, 37191, 3560, 37196, 3558, 26032, 3553, 3568, 5073, 500, 3552, 488, 4313, 55389, 495, 63188, 4315, 5069, 5068, 34363]","[1, 1, 2, 1, 2, 1, 2, 2, 0, 1, 2, 1, 0, 1, 1, 2, 0, 0, 0, 0]"
side panel with share and settings,"[64805, 16246, 50505, 16250, 69142, 16247, 68962, 8684, 16249, 58148, 4825, 16242, 39596, 50471, 16244, 67254, 16253, 16243, 53871, 16251]","[2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0]"
Selection of Doctor's Specialization,"[34401, 24069, 2847, 65902, 65898, 65907, 45730, 24067, 65904, 71752, 17225, 41119, 65906, 27091, 24078, 44732, 9138, 60471, 33768, 69913]","[2, 1, 1, 0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"tourist app, discover world places, countries and cities","[5728, 21671, 46531, 9717, 26245, 5729, 9718, 26257, 2794, 53349, 44295, 54556, 66553, 62895, 54548, 66552, 14594, 10215, 40902, 20147]","[2, 2, 0, 1, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Media with no search results,"[32286, 42462, 42434, 42466, 61555, 42463, 14778, 42453, 14775, 26744, 14777, 46601, 42442, 15336, 42447, 42458, 13816, 33825, 71742, 67287]","[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0]"
online dating,"[64832, 17289, 60172, 17286, 14553, 69995, 15942, 50639, 70005, 42733, 17292, 64058, 69989, 17294, 56407, 66461, 17293, 1281, 28655, 42742]","[2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 2, 0, 2, 0]"
camera notification message,"[42512, 16080, 62977, 43317, 39964, 69480, 31393, 54834, 40065, 14188, 71513, 70963, 70961, 3427, 70964, 2132, 66562, 60264, 41191, 1628]","[2, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
android news website,"[13860, 52188, 16515, 43061, 14880, 33440, 14879, 15497, 71379, 25465, 71434, 68818, 14878, 42541, 45838, 16508, 33438, 11492, 26970, 1575]","[2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0]"
search coffee with location,"[2696, 2703, 49193, 6938, 57262, 13540, 49192, 23775, 2705, 28541, 6932, 50622, 2707, 15613, 53737, 18449, 47031, 44819, 15615, 6937]","[2, 2, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
text editing with their options,"[4396, 51704, 4885, 24726, 4285, 23378, 50598, 48717, 12304, 48723, 32308, 28277, 2270, 34993, 69444, 30360, 53507, 40026, 60801, 16048]","[2, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
weather application screen's side menu,"[51829, 4748, 22096, 19225, 58147, 17344, 31373, 4825, 39486, 20721, 68438, 39597, 56943, 31379, 22104, 54279, 69136, 18041, 39599, 17333]","[2, 0, 1, 0, 1, 0, 1, 1, 0, 2, 1, 2, 1, 2, 0, 1, 0, 0, 0, 1]"
customer complaint service,"[5122, 42698, 23501, 6942, 47843, 52028, 22829, 41171, 28822, 60454, 3453, 2779, 48522, 45328, 48828, 3521, 14466, 31332, 40239, 6930]","[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 1, 2, 0, 0, 0, 0, 0]"
song with the artist picture and pause button,"[33275, 33281, 55483, 23295, 54783, 12817, 33283, 27043, 23291, 71492, 33282, 707, 711, 63179, 71490, 44134, 70393, 33276, 29617, 29194]","[2, 0, 1, 0, 0, 1, 0, 1, 0, 2, 0, 2, 2, 2, 2, 0, 0, 1, 1, 1]"
complete your melody,"[46619, 36136, 38103, 38102, 32194, 32190, 52112, 43202, 70783, 43860, 20322, 2071, 13799, 50696, 69703, 65833, 32262, 854, 23116, 50697]","[2, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0]"
Genesis + Book + Android,"[62592, 45340, 27400, 22200, 40933, 22202, 11820, 40924, 3909, 11815, 40929, 3912, 34374, 6383, 16684, 45335, 6389, 29546, 44576, 28508]","[2, 2, 1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 1, 1]"
Different Language choice keypad,"[45339, 42980, 3441, 43322, 12740, 12738, 62582, 57308, 8986, 70112, 8976, 50948, 60557, 5816, 19767, 3432, 70977, 68329, 8977, 65888]","[2, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
menu providing different buttons to change the settings and to get more information,"[68952, 50241, 67334, 1671, 66979, 41333, 50593, 51275, 36064, 29729, 21573, 5706, 60360, 1380, 25027, 16204, 60624, 40104, 45304, 23123]","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]"
live breaking news video with another top stories article and video,"[56755, 26446, 37740, 68520, 30709, 28430, 24015, 49053, 37741, 32890, 5238, 16808, 71210, 37498, 3319, 63264, 68527, 3322, 803, 16087]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0]"
Weekday digest for meal planning,"[6044, 5270, 48742, 5262, 5265, 48751, 3450, 66540, 15688, 5267, 4834, 29388, 4316, 66527, 4842, 66532, 66544, 4833, 29390, 5260]","[2, 2, 0, 2, 2, 0, 0, 1, 0, 2, 0, 2, 0, 1, 0, 1, 1, 0, 1, 1]"
Buy atlanta falcons jersey,"[23355, 17533, 17522, 23356, 25062, 7591, 7593, 62503, 40660, 21302, 32411, 17404, 43110, 19720, 17828, 36628, 43251, 7590, 59069, 49463]","[2, 0, 0, 2, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Sidebar with homepage and other options,"[37797, 3573, 37795, 36460, 55493, 30733, 55494, 55492, 30941, 67559, 17819, 18457, 67553, 41355, 45615, 48902, 30463, 67561, 17057, 18455]","[0, 0, 0, 0, 2, 0, 2, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
video show of a tattoo,"[51384, 60584, 60585, 26674, 46964, 31044, 12687, 21753, 28986, 70825, 28430, 28979, 23419, 60587, 46962, 37741, 28985, 70826, 26675, 51375]","[2, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
