id,query,gui_index,WorkerId
409,Job feed for online job posting,38318,A1NW9UWTFS14S5
82,Text window wth search tool,71819,A3CUDF4JR3QTS4
324,List of notifications,47119,A1NW9UWTFS14S5
196,"App for Journey from one place to another , booking the seats",43369,A1JBSNWSI7VKQO
231,"research of specific year, month, and day",3390,A8BH4CXKWP6PW
102,translation from chinese to english with favorites word storage,35168,AFWTKS209SFQY
248,"Settings with account, alert frequency and alert type",38321,A12EE9K9VY7XXF
276,my net diary with many options,8337,A3BXLWKSBUO002
96,Country picker,68533,A12EE9K9VY7XXF
393,sharing privacy settings,38969,A27GOFWHEHV758
383,the best calculator,69034,A6KII16FVGPFF
105,search bar with audio upload feature,33471,A8PRJZR3J6UTF
200,sign-in with Google account with less information,48180,A1P9OU1YPIQVW7
46,"Filter Nav bar with Search icon, Cart, product name, product image, product rating and Menu",17175,A1QOJGSZEZXSE1
151,Listing the items with attractive images,9267,A3NDKVYPTBWPEO
123,Inbox design and themes,12059,A2G11CAPXX5616
342,google map with details,12353,A1R6ELRI4GR9XF
207,Add blocker,56729,A1250SSIMRQ3JA
132,login screen,43412,A1FV1XP2UU0EVH
142,Find a barber,71571,A3IP4RARMM3X4A
7,Different Language choice keypad,45339,A1JBSNWSI7VKQO
43,camera notification message,42512,A2KNN0T650FQ01
244,Calendar with monthly layout for promotions,64069,A1NW9UWTFS14S5
127,see game history,56089,A3CR6XU8373Z2N
232,Menu should be in ascending order to make more friendly,64028,A3HN5JOPRIKMNU
26,List of chapers with name and status,64519,A12EE9K9VY7XXF
19,photo viewer,31048,A3CP44KT0KLT69
10,us immigration news,18726,A2KNN0T650FQ01
88,Weather Forecast,7725,AE2M19TCQJWI
78,create notifications,52979,A3CP44KT0KLT69
8,"app settings with permissions, notifications, phone numbers and about",46075,AFWTKS209SFQY
437,loading screen on app,50768,A2KNN0T650FQ01
262,infrormation screen about unavailble service,17620,A27GOFWHEHV758
83,GPS Location finder,39575,A1JBSNWSI7VKQO
266,alarm to organize my work,61177,A23IXWZNWDLTNT
237,"Search bar with a searching function and entries like home, weather, traffic, radar, closings & delays",37419,A36COHZCHGHYD3
35,most viewed report of the week,47628,A27GOFWHEHV758
452,in shape water schedule by date,30327,A1R6ELRI4GR9XF
116,elementary podcast British council,58308,ASL3NA8PT15JU
22,live breaking news video with another top stories article and video,5235,AV5170KNIBKL6
461,expandable side menu,14215,A1FV1XP2UU0EVH
228,voice changer with many buttons,45268,A3CUDF4JR3QTS4
238,video show of a tattoo,51384,A1NFUUQF4T9KXM
220,Overview of a holiday room with pictures and features,41847,A11B0Q26E3U79M
1,ecommerce portal homescreen with search bar and frequently used option,53479,A3HN5JOPRIKMNU
45,login screen,45861,A2KNN0T650FQ01
49,Menu with menu options,40960,A34Z73OAWYW014
345,Body care products,20162,ASL3NA8PT15JU
180,word levels,36189,A2JJQ4KXJCPDAW
77,bottom menu,47832,A1FV1XP2UU0EVH
254,privacy policy with types of collected information,8453,A1WH1CTOZHV7YR
98,Chinese emergency words in English,27561,A1250SSIMRQ3JA
382,"Text reading,search bar, ads, and share",29775,A8BH4CXKWP6PW
284,recognizing plants by picture,49102,A2KNN0T650FQ01
357,newsfeed with articles and image,67353,AQ6IZ8Q7EHQQE
188,"DealNews application with sign in, feedback, top deals and categories",38384,A26BOJ0O91EIBR
259,informations about Grace Chan,17255,A1NFUUQF4T9KXM
292,income and expenses reports,26054,A23IXWZNWDLTNT
371,lists,5436,A20EIK9C477PTC
17,expandable side menu,12792,A1FV1XP2UU0EVH
269,spin and win rewards app,47945,A1CLIAQI9N8YOJ
332,channels overview,62180,A27GOFWHEHV758
397,shopping lists app with ability to share,4783,A1CLIAQI9N8YOJ
254,song with the artist picture and pause button,45243,A2TXLKAOJJ9BEK
256,meet peopple feature me women selfies,50320,A1V8T0ZHN29U5H
406,A list of Games,1309,A1JBSNWSI7VKQO
63,search bar that include the dish and resturent name,4793,A2TXLKAOJJ9BEK
48,pop up menu,19063,A1FV1XP2UU0EVH
125,playlists overview with favorites and playlistis names,44035,A1WH1CTOZHV7YR
320,information with get started,52301,A1R6ELRI4GR9XF
99,Details listed with all the Major Satellites,42375,A3NDKVYPTBWPEO
223,keypad dialer theme,40339,AFWYEWB3W0ZSB
425,search coffee with location,2696,AV5170KNIBKL6
51,Web advertising for online shop,43530,A11B0Q26E3U79M
290,various emojis,62124,A3CR6XU8373Z2N
174,rent a car,32444,A23IXWZNWDLTNT
247,Units to measure volume,72081,A23IXWZNWDLTNT
83,choose a location,40965,A34Z73OAWYW014
66,creating profile with  email using username email id and password,40816,A1UOWWUH9WVUOH
261,open garden forum,17677,AFWTKS209SFQY
256,News with videos,18890,A3IP4RARMM3X4A
271,picture of a robot with explanations,25996,A3CR6XU8373Z2N
231,Login Scren of an app,25425,A11B0Q26E3U79M
243,a news with a share icon,21244,A3BXLWKSBUO002
63,food tutorial apps with background music,61223,A8PRJZR3J6UTF
26,Android application typical notification window,52436,A2NA5304C0C5FQ
278,Booking a lounge at the airport,57682,A218PYL0KI07IO
391,overview of livestream shows,24998,A3G2CWQ5OV8AHE
436,language learning app,27741,A2KNN0T650FQ01
335,flag and find locations,51158,AVRMXTZHUCXXL
73,Chinese dating app describing its features,56919,A1UOWWUH9WVUOH
170,Navigation and settings panel,4895,AFWTKS209SFQY
166,Yalla shoot app,54720,A13HTFAO25P3U4
420,down nearby picks,31953,A1NFUUQF4T9KXM
61,a news and an advertisement,56632,A3BXLWKSBUO002
40,Most demanded news and article,7762,A8BH4CXKWP6PW
86,shopping categories,37710,A1FV1XP2UU0EVH
197,Mobile UI for settings page,64671,A2G11CAPXX5616
2,today storms updates,69974,A6KII16FVGPFF
71,Mp3 + player +  software,39444,A1250SSIMRQ3JA
70,history of experienced staff,14251,A1V8T0ZHN29U5H
418,broadcasting sport app,51474,A1CLIAQI9N8YOJ
168,Tabs for exams and grading,49646,A1NW9UWTFS14S5
399,NBC news,37500,A1250SSIMRQ3JA
126,screen with different measurements of a women's picture,66134,ABREXWFU9D3WR
171,ingredients of crust less breakfast,7928,A3BXLWKSBUO002
350,a list of songs,61929,A1NFUUQF4T9KXM
329,share news with another shareable options,45216,AV5170KNIBKL6
28,List of states and a menu,6622,A12EE9K9VY7XXF
212,This is good example for information screen,7465,A3HN5JOPRIKMNU
108,Wildlife NEWS overview with video and text,13880,A26BOJ0O91EIBR
33,search bar with key words under specified categories,56905,A3NDKVYPTBWPEO
4,screen of a task manager showing open tasks of the mobile phone,62586,A11B0Q26E3U79M
118,Introductory message for startup,52920,A1NW9UWTFS14S5
258,sign up to ASOS,4322,A23IXWZNWDLTNT
148,Map app with the ability of sharing the location with different social media applications,40412,A32ATJF7ZENBWH
109,Sign in with Twitter-allows Twitter users to enjoy the benefits of a registered user account,66815,A3TTSFVAJHM947
4,text editing with their options,4396,AV5170KNIBKL6
87,guitar lessons app for left handed people,38823,A8PRJZR3J6UTF
163,emoticons of yellow faces to choose from,30432,AQ6IZ8Q7EHQQE
309,game user guide,12609,A27GOFWHEHV758
43,food photo with ingredients,42425,A1R6ELRI4GR9XF
195,App that display the shop and store locators and account details,63776,A2TXLKAOJJ9BEK
14,gaming tickets with account manager,39559,A1WH1CTOZHV7YR
308,countries-based news app,25210,A1CLIAQI9N8YOJ
331,List of dropdown categories,67401,A12EE9K9VY7XXF
343,a pop up window to choose in which to share,13855,A3BXLWKSBUO002
45,google map with search bar,24749,A1R6ELRI4GR9XF
328,"search bar with result a list showing person with name, adress, price and image, with option call now or send enqury",19885,A3T1ZTIWDIOXMX
463,choose primary use for cash for personal or business,32392,A1R6ELRI4GR9XF
24,Confirmation dialogue box for switching application with option to proceed and go back,21297,A2NA5304C0C5FQ
97,video review with send as message button,44177,A1WH1CTOZHV7YR
201,playlists with other options in music player,25514,AV5170KNIBKL6
311,Team selection bar,43148,A36COHZCHGHYD3
76,Tutorial for newly installed browser,65334,A3IP4RARMM3X4A
32,Translation page with UI,70252,A2G11CAPXX5616
273,list of football players,17533,A3CUDF4JR3QTS4
8,Login with organitzation address and password,51947,A12EE9K9VY7XXF
385,Tickets website show the register page,35976,A2TXLKAOJJ9BEK
53,"Registration with email, full name, public username and country",40401,A36COHZCHGHYD3
1,Review with description,33340,AFWYEWB3W0ZSB
102,"Site showing papers with Title, Release date, advisory ID, and Summary",41528,A26BOJ0O91EIBR
31,Application screen for find the phone number information,15516,A3HN5JOPRIKMNU
28,low carbs shakes,65741,A27GOFWHEHV758
163,Invitation with share link,46292,A34Z73OAWYW014
208,a language window with many options,70036,ABREXWFU9D3WR
97,fun,17201,A3CR6XU8373Z2N
12,Search bar with attractive pictures as well as date and names,46612,A3NDKVYPTBWPEO
401,Login form with validation,59701,A2G11CAPXX5616
0,"Application with writing reviews, bookmarks, and invoices",48513,A26BOJ0O91EIBR
26,request for application update,54682,A3HN5JOPRIKMNU
104,moblie locking apps,19109,A6KII16FVGPFF
444,profile window with a button to take a photo or select it from galary,38535,A3CUDF4JR3QTS4
131,details for disclaimer,28675,A1NW9UWTFS14S5
139,"Start screen of a photo editing program with buttons like your photos, use camera, from facebook and cool photos",50679,A36COHZCHGHYD3
267,Great American Ball Park Tickets Booking and Schedule Updates,36046,AE2M19TCQJWI
230,Sign up screen with user details,8109,A3HN5JOPRIKMNU
96,buying many items at once,38078,A3CR6XU8373Z2N
62,Personalised Timer,35384,AE2M19TCQJWI
355,search bar with contact list with profile picture and all other applications,47542,A3NDKVYPTBWPEO
