id,query,WorkerId
76,"feedback request, whether you like it, with options yes or feedback and emojis",A3G2CWQ5OV8AHE
67,Travel with ease with tracking,ASL3NA8PT15JU
213,search page of dolphin.com,A2TXLKAOJJ9BEK
15,prompt to add a suite to  Wishlist,A1UOWWUH9WVUOH
380,home page of dictionary with word of day,A2TXLKAOJJ9BEK
18,unknown album playlist,AFWTKS209SFQY
288,maternity scheduler with timetable,A1UOWWUH9WVUOH
240,map display the error of voice recognization,A2TXLKAOJJ9BEK
6,how can i change this settings,A6KII16FVGPFF
307,Search bar with a text and a page showing no results,ABOC5IITA7DV1
304,shopping list app,A2KNN0T650FQ01
23,Information screen to add a tabatas in a tabatas list app,A11B0Q26E3U79M
245,"login screen, landing page",A1FV1XP2UU0EVH
18,UI for reminder notes,A2G11CAPXX5616
287,e-commerce for online selling and buying,A1NW9UWTFS14S5
375,Options menu,A1NW9UWTFS14S5
89,Card with image and text with link button,A1QOJGSZEZXSE1
252,reader's view of an article of Time,AV5170KNIBKL6
338,sign up page for a dating application,A1UOWWUH9WVUOH
135,Forum app to meet people and join discussions,A1CLIAQI9N8YOJ
283,"News with result list showing items such as Bitcoin Magazine, CoinDesk",A3T1ZTIWDIOXMX
411,countdown timer with a list of options,A3CUDF4JR3QTS4
105,select location,A1FV1XP2UU0EVH
104,search job locations in desired place,AFWTKS209SFQY
127,dropdown for country and text box for contact number with number only keyboard,A1QOJGSZEZXSE1
151,Weekday digest for meal planning,A1NW9UWTFS14S5
144,T20 Cricket Live Chat,AE2M19TCQJWI
242,2D graph with a point and its dimensions,A1UOWWUH9WVUOH
60,sharing files service,A23IXWZNWDLTNT
409,Job feed for online job posting,A1NW9UWTFS14S5
82,Text window wth search tool,A3CUDF4JR3QTS4
324,List of notifications,A1NW9UWTFS14S5
196,"App for Journey from one place to another , booking the seats",A1JBSNWSI7VKQO
231,"research of specific year, month, and day",A8BH4CXKWP6PW
102,translation from chinese to english with favorites word storage,AFWTKS209SFQY
248,"Settings with account, alert frequency and alert type",A12EE9K9VY7XXF
276,my net diary with many options,A3BXLWKSBUO002
96,Country picker,A12EE9K9VY7XXF
393,sharing privacy settings,A27GOFWHEHV758
383,the best calculator,A6KII16FVGPFF
105,search bar with audio upload feature,A8PRJZR3J6UTF
200,sign-in with Google account with less information,A1P9OU1YPIQVW7
46,"Filter Nav bar with Search icon, Cart, product name, product image, product rating and Menu",A1QOJGSZEZXSE1
151,Listing the items with attractive images,A3NDKVYPTBWPEO
123,Inbox design and themes,A2G11CAPXX5616
342,google map with details,A1R6ELRI4GR9XF
207,Add blocker,A1250SSIMRQ3JA
132,login screen,A1FV1XP2UU0EVH
142,Find a barber,A3IP4RARMM3X4A
7,Different Language choice keypad,A1JBSNWSI7VKQO
43,camera notification message,A2KNN0T650FQ01
244,Calendar with monthly layout for promotions,A1NW9UWTFS14S5
127,see game history,A3CR6XU8373Z2N
232,Menu should be in ascending order to make more friendly,A3HN5JOPRIKMNU
26,List of chapers with name and status,A12EE9K9VY7XXF
19,photo viewer,A3CP44KT0KLT69
10,us immigration news,A2KNN0T650FQ01
88,Weather Forecast,AE2M19TCQJWI
78,create notifications,A3CP44KT0KLT69
8,"app settings with permissions, notifications, phone numbers and about",AFWTKS209SFQY
437,loading screen on app,A2KNN0T650FQ01
262,infrormation screen about unavailble service,A27GOFWHEHV758
83,GPS Location finder,A1JBSNWSI7VKQO
266,alarm to organize my work,A23IXWZNWDLTNT
237,"Search bar with a searching function and entries like home, weather, traffic, radar, closings & delays",A36COHZCHGHYD3
35,most viewed report of the week,A27GOFWHEHV758
452,in shape water schedule by date,A1R6ELRI4GR9XF
116,elementary podcast British council,ASL3NA8PT15JU
22,live breaking news video with another top stories article and video,AV5170KNIBKL6
461,expandable side menu,A1FV1XP2UU0EVH
228,voice changer with many buttons,A3CUDF4JR3QTS4
238,video show of a tattoo,A1NFUUQF4T9KXM
220,Overview of a holiday room with pictures and features,A11B0Q26E3U79M
1,ecommerce portal homescreen with search bar and frequently used option,A3HN5JOPRIKMNU
45,login screen,A2KNN0T650FQ01
49,Menu with menu options,A34Z73OAWYW014
345,Body care products,ASL3NA8PT15JU
180,word levels,A2JJQ4KXJCPDAW
77,bottom menu,A1FV1XP2UU0EVH
254,privacy policy with types of collected information,A1WH1CTOZHV7YR
98,Chinese emergency words in English,A1250SSIMRQ3JA
382,"Text reading,search bar, ads, and share",A8BH4CXKWP6PW
284,recognizing plants by picture,A2KNN0T650FQ01
357,newsfeed with articles and image,AQ6IZ8Q7EHQQE
188,"DealNews application with sign in, feedback, top deals and categories",A26BOJ0O91EIBR
259,informations about Grace Chan,A1NFUUQF4T9KXM
292,income and expenses reports,A23IXWZNWDLTNT
371,lists,A20EIK9C477PTC
17,expandable side menu,A1FV1XP2UU0EVH
269,spin and win rewards app,A1CLIAQI9N8YOJ
332,channels overview,A27GOFWHEHV758
397,shopping lists app with ability to share,A1CLIAQI9N8YOJ
254,song with the artist picture and pause button,A2TXLKAOJJ9BEK
256,meet peopple feature me women selfies,A1V8T0ZHN29U5H
406,A list of Games,A1JBSNWSI7VKQO
63,search bar that include the dish and resturent name,A2TXLKAOJJ9BEK
48,pop up menu,A1FV1XP2UU0EVH
125,playlists overview with favorites and playlistis names,A1WH1CTOZHV7YR
320,information with get started,A1R6ELRI4GR9XF
99,Details listed with all the Major Satellites,A3NDKVYPTBWPEO
223,keypad dialer theme,AFWYEWB3W0ZSB
425,search coffee with location,AV5170KNIBKL6
51,Web advertising for online shop,A11B0Q26E3U79M
290,various emojis,A3CR6XU8373Z2N
174,rent a car,A23IXWZNWDLTNT
247,Units to measure volume,A23IXWZNWDLTNT
83,choose a location,A34Z73OAWYW014
66,creating profile with  email using username email id and password,A1UOWWUH9WVUOH
261,open garden forum,AFWTKS209SFQY
256,News with videos,A3IP4RARMM3X4A
271,picture of a robot with explanations,A3CR6XU8373Z2N
231,Login Scren of an app,A11B0Q26E3U79M
243,a news with a share icon,A3BXLWKSBUO002
63,food tutorial apps with background music,A8PRJZR3J6UTF
26,Android application typical notification window,A2NA5304C0C5FQ
278,Booking a lounge at the airport,A218PYL0KI07IO
391,overview of livestream shows,A3G2CWQ5OV8AHE
436,language learning app,A2KNN0T650FQ01
335,flag and find locations,AVRMXTZHUCXXL
73,Chinese dating app describing its features,A1UOWWUH9WVUOH
170,Navigation and settings panel,AFWTKS209SFQY
166,Yalla shoot app,A13HTFAO25P3U4
420,down nearby picks,A1NFUUQF4T9KXM
61,a news and an advertisement,A3BXLWKSBUO002
40,Most demanded news and article,A8BH4CXKWP6PW
86,shopping categories,A1FV1XP2UU0EVH
197,Mobile UI for settings page,A2G11CAPXX5616
2,today storms updates,A6KII16FVGPFF
71,Mp3 + player +  software,A1250SSIMRQ3JA
70,history of experienced staff,A1V8T0ZHN29U5H
418,broadcasting sport app,A1CLIAQI9N8YOJ
168,Tabs for exams and grading,A1NW9UWTFS14S5
399,NBC news,A1250SSIMRQ3JA
126,screen with different measurements of a women's picture,ABREXWFU9D3WR
171,ingredients of crust less breakfast,A3BXLWKSBUO002
350,a list of songs,A1NFUUQF4T9KXM
329,share news with another shareable options,AV5170KNIBKL6
28,List of states and a menu,A12EE9K9VY7XXF
212,This is good example for information screen,A3HN5JOPRIKMNU
108,Wildlife NEWS overview with video and text,A26BOJ0O91EIBR
33,search bar with key words under specified categories,A3NDKVYPTBWPEO
4,screen of a task manager showing open tasks of the mobile phone,A11B0Q26E3U79M
118,Introductory message for startup,A1NW9UWTFS14S5
258,sign up to ASOS,A23IXWZNWDLTNT
148,Map app with the ability of sharing the location with different social media applications,A32ATJF7ZENBWH
109,Sign in with Twitter-allows Twitter users to enjoy the benefits of a registered user account,A3TTSFVAJHM947
4,text editing with their options,AV5170KNIBKL6
87,guitar lessons app for left handed people,A8PRJZR3J6UTF
163,emoticons of yellow faces to choose from,AQ6IZ8Q7EHQQE
309,game user guide,A27GOFWHEHV758
43,food photo with ingredients,A1R6ELRI4GR9XF
195,App that display the shop and store locators and account details,A2TXLKAOJJ9BEK
14,gaming tickets with account manager,A1WH1CTOZHV7YR
308,countries-based news app,A1CLIAQI9N8YOJ
331,List of dropdown categories,A12EE9K9VY7XXF
343,a pop up window to choose in which to share,A3BXLWKSBUO002
45,google map with search bar,A1R6ELRI4GR9XF
328,"search bar with result a list showing person with name, adress, price and image, with option call now or send enqury",A3T1ZTIWDIOXMX
463,choose primary use for cash for personal or business,A1R6ELRI4GR9XF
24,Confirmation dialogue box for switching application with option to proceed and go back,A2NA5304C0C5FQ
97,video review with send as message button,A1WH1CTOZHV7YR
201,playlists with other options in music player,AV5170KNIBKL6
311,Team selection bar,A36COHZCHGHYD3
76,Tutorial for newly installed browser,A3IP4RARMM3X4A
32,Translation page with UI,A2G11CAPXX5616
273,list of football players,A3CUDF4JR3QTS4
8,Login with organitzation address and password,A12EE9K9VY7XXF
385,Tickets website show the register page,A2TXLKAOJJ9BEK
53,"Registration with email, full name, public username and country",A36COHZCHGHYD3
1,Review with description,AFWYEWB3W0ZSB
102,"Site showing papers with Title, Release date, advisory ID, and Summary",A26BOJ0O91EIBR
31,Application screen for find the phone number information,A3HN5JOPRIKMNU
28,low carbs shakes,A27GOFWHEHV758
163,Invitation with share link,A34Z73OAWYW014
208,a language window with many options,ABREXWFU9D3WR
97,fun,A3CR6XU8373Z2N
12,Search bar with attractive pictures as well as date and names,A3NDKVYPTBWPEO
401,Login form with validation,A2G11CAPXX5616
0,"Application with writing reviews, bookmarks, and invoices",A26BOJ0O91EIBR
26,request for application update,A3HN5JOPRIKMNU
104,moblie locking apps,A6KII16FVGPFF
444,profile window with a button to take a photo or select it from galary,A3CUDF4JR3QTS4
131,details for disclaimer,A1NW9UWTFS14S5
139,"Start screen of a photo editing program with buttons like your photos, use camera, from facebook and cool photos",A36COHZCHGHYD3
267,Great American Ball Park Tickets Booking and Schedule Updates,AE2M19TCQJWI
230,Sign up screen with user details,A3HN5JOPRIKMNU
96,buying many items at once,A3CR6XU8373Z2N
62,Personalised Timer,AE2M19TCQJWI
355,search bar with contact list with profile picture and all other applications,A3NDKVYPTBWPEO
