Input.query,Input.id,annotations_list,gui_indexes_list,WorkerId,groupid,cumcount
search cellular locations,346,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1]","[23326, 24154, 61364, 5629, 12745, 173, 15516, 12751, 40438, 2707, 43341, 44453, 38508, 40440, 43024]",A33LIU53SVI55G,124,2
bookmark,36,"[2, 0, 2, 2, 2, 1, 2, 1, 2, 2, 0, 1, 1, 0, 2]","[9332, 61381, 41408, 57786, 38945, 37308, 23769, 2471, 60130, 2474, 54010, 11951, 64925, 224, 41414]",A15ZDCM9T6FXH3,71,0
bookmark,36,"[2, 0, 2, 2, 2, 1, 2, 2, 2, 2, 0, 2, 0, 0, 2]","[9332, 61381, 41408, 57786, 38945, 37308, 23769, 2471, 60130, 2474, 54010, 11951, 64925, 224, 41414]",A1I579KWWA5IEO,71,1
bookmark,36,"[2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 0, 0, 2]","[9332, 61381, 41408, 57786, 38945, 37308, 23769, 2471, 60130, 2474, 54010, 11951, 64925, 224, 41414]",AXXA481XH6FKE,71,2
Product description and shipping information,384,"[2, 1, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]","[4151, 19446, 2097, 30790, 5128, 4621, 30794, 23922, 61478, 4143, 61473, 55624, 20518, 61474, 61475]",AXXA481XH6FKE,38,0
Product description and shipping information,384,"[2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[4151, 19446, 2097, 30790, 5128, 4621, 30794, 23922, 61478, 4143, 61473, 55624, 20518, 61474, 61475]",A22TLF121MRXT1,38,1
Product description and shipping information,384,"[0, 1, 2, 1, 2, 1, 1, 2, 1, 0, 1, 1, 0, 1, 0]","[4151, 19446, 2097, 30790, 5128, 4621, 30794, 23922, 61478, 4143, 61473, 55624, 20518, 61474, 61475]",AYHIH9NTPYFLY,38,2
"SOY LUNA MUSICA-Disney Channel Latin America, all shows and broadcast musical TV series",198,"[2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[37235, 37237, 37236, 37233, 37232, 37238, 56991, 31527, 41716, 42232, 6257, 60115, 9015, 35694, 61463]",AXXA481XH6FKE,41,0
"SOY LUNA MUSICA-Disney Channel Latin America, all shows and broadcast musical TV series",198,"[2, 2, 2, 2, 2, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[37235, 37237, 37236, 37233, 37232, 37238, 56991, 31527, 41716, 42232, 6257, 60115, 9015, 35694, 61463]",A2QZ3E3AEY887V,41,1
"SOY LUNA MUSICA-Disney Channel Latin America, all shows and broadcast musical TV series",198,"[2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 0]","[37235, 37237, 37236, 37233, 37232, 37238, 56991, 31527, 41716, 42232, 6257, 60115, 9015, 35694, 61463]",A35AR7EP102IEV,41,2
application submission screen for successfully submitted application,1,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0]","[53044, 30983, 19857, 3384, 44087, 19858, 42944, 24697, 51615, 42954, 17348, 61377, 19226, 65388, 68456]",AXXA481XH6FKE,67,0
application submission screen for successfully submitted application,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[53044, 30983, 19857, 3384, 44087, 19858, 42944, 24697, 51615, 42954, 17348, 61377, 19226, 65388, 68456]",AYHIH9NTPYFLY,67,1
application submission screen for successfully submitted application,1,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0]","[53044, 30983, 19857, 3384, 44087, 19858, 42944, 24697, 51615, 42954, 17348, 61377, 19226, 65388, 68456]",A15ZDCM9T6FXH3,67,2
music,298,"[2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0]","[1506, 58956, 3351, 58946, 58945, 70547, 3352, 15479, 70546, 47865, 58955, 70544, 70533, 53793, 70539]",A2AKNTBRMYZ95S,103,0
music,298,"[2, 2, 2, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2, 1, 1]","[1506, 58956, 3351, 58946, 58945, 70547, 3352, 15479, 70546, 47865, 58955, 70544, 70533, 53793, 70539]",A15ZDCM9T6FXH3,103,1
music,298,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1506, 58956, 3351, 58946, 58945, 70547, 3352, 15479, 70546, 47865, 58955, 70544, 70533, 53793, 70539]",AXXA481XH6FKE,103,2
side panel with share and settings,192,"[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[64805, 16246, 5803, 50505, 16250, 69142, 69146, 16247, 68962, 8684, 16249, 58148, 4825, 16242, 39596]",AXXA481XH6FKE,130,0
side panel with share and settings,192,"[2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[64805, 16246, 5803, 50505, 16250, 69142, 69146, 16247, 68962, 8684, 16249, 58148, 4825, 16242, 39596]",A15ZDCM9T6FXH3,130,1
side panel with share and settings,192,"[2, 0, 1, 2, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1]","[64805, 16246, 5803, 50505, 16250, 69142, 69146, 16247, 68962, 8684, 16249, 58148, 4825, 16242, 39596]",A22TLF121MRXT1,130,2
Timer with play button,289,"[2, 0, 0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 2, 2, 2]","[32372, 8150, 11490, 11489, 3533, 18992, 47249, 33084, 18991, 12654, 60376, 17912, 63066, 69747, 63069]",A33LIU53SVI55G,52,0
Timer with play button,289,"[2, 0, 1, 0, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2]","[32372, 8150, 11490, 11489, 3533, 18992, 47249, 33084, 18991, 12654, 60376, 17912, 63066, 69747, 63069]",ARJ7XWSK0Y8FJ,52,1
Timer with play button,289,"[2, 0, 1, 1, 2, 2, 1, 0, 1, 0, 0, 1, 1, 0, 2]","[32372, 8150, 11490, 11489, 3533, 18992, 47249, 33084, 18991, 12654, 60376, 17912, 63066, 69747, 63069]",AXXA481XH6FKE,52,2
celebrity news,54,"[2, 0, 2, 0, 2, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1]","[41197, 8198, 34949, 13837, 64845, 54133, 68818, 48902, 71379, 68814, 66386, 16515, 68816, 50096, 68811]",AXXA481XH6FKE,76,0
celebrity news,54,"[1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]","[41197, 8198, 34949, 13837, 64845, 54133, 68818, 48902, 71379, 68814, 66386, 16515, 68816, 50096, 68811]",AFIK3VBMMX6G6,76,1
celebrity news,54,"[2, 0, 2, 0, 2, 1, 2, 1, 1, 2, 0, 0, 2, 0, 2]","[41197, 8198, 34949, 13837, 64845, 54133, 68818, 48902, 71379, 68814, 66386, 16515, 68816, 50096, 68811]",A3C2X1L5PVNNLV,76,2
More options for user,23,"[2, 1, 1, 1, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0]","[65727, 27059, 27052, 15880, 39155, 2274, 67673, 16134, 27046, 19707, 31202, 27058, 58448, 53100, 2270]",A22TLF121MRXT1,30,0
More options for user,23,"[2, 2, 2, 2, 2, 0, 2, 1, 2, 2, 0, 2, 2, 2, 0]","[65727, 27059, 27052, 15880, 39155, 2274, 67673, 16134, 27046, 19707, 31202, 27058, 58448, 53100, 2270]",A1PVNAXKDIW5K6,30,1
More options for user,23,"[2, 2, 2, 2, 0, 0, 1, 0, 2, 1, 0, 2, 2, 2, 0]","[65727, 27059, 27052, 15880, 39155, 2274, 67673, 16134, 27046, 19707, 31202, 27058, 58448, 53100, 2270]",AXXA481XH6FKE,30,2
"Delivery details input boxes for address and buttons for home, work or other",50,"[2, 2, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]","[66919, 66923, 55571, 15866, 66920, 55575, 2005, 51945, 33699, 43208, 63115, 50090, 56435, 51940, 59549]",A15ZDCM9T6FXH3,9,0
"Delivery details input boxes for address and buttons for home, work or other",50,"[2, 2, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[66919, 66923, 55571, 15866, 66920, 55575, 2005, 51945, 33699, 43208, 63115, 50090, 56435, 51940, 59549]",AXXA481XH6FKE,9,1
"Delivery details input boxes for address and buttons for home, work or other",50,"[2, 2, 2, 0, 1, 2, 1, 0, 0, 0, 2, 2, 0, 0, 0]","[66919, 66923, 55571, 15866, 66920, 55575, 2005, 51945, 33699, 43208, 63115, 50090, 56435, 51940, 59549]",A22TLF121MRXT1,9,2
page not found report with search bar and recent posts,60,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[10135, 17092, 37760, 68039, 64856, 39648, 23126, 37759, 35252, 38234, 5501, 35242, 68272, 28647, 65328]",AXXA481XH6FKE,115,0
page not found report with search bar and recent posts,60,"[2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 0, 1]","[10135, 17092, 37760, 68039, 64856, 39648, 23126, 37759, 35252, 38234, 5501, 35242, 68272, 28647, 65328]",A35AR7EP102IEV,115,1
page not found report with search bar and recent posts,60,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10135, 17092, 37760, 68039, 64856, 39648, 23126, 37759, 35252, 38234, 5501, 35242, 68272, 28647, 65328]",A15ZDCM9T6FXH3,115,2
Months of a year from January to November with a radio button to choose,125,"[2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[15298, 28181, 9559, 68559, 58891, 59581, 56733, 54, 71521, 57327, 42782, 42781, 22588, 18499, 25408]",AXXA481XH6FKE,29,0
Months of a year from January to November with a radio button to choose,125,"[1, 1, 0, 1, 1, 0, 1, 2, 0, 1, 0, 0, 1, 1, 0]","[15298, 28181, 9559, 68559, 58891, 59581, 56733, 54, 71521, 57327, 42782, 42781, 22588, 18499, 25408]",A15ZDCM9T6FXH3,29,1
Months of a year from January to November with a radio button to choose,125,"[2, 1, 0, 1, 1, 0, 2, 1, 0, 2, 0, 0, 2, 1, 0]","[15298, 28181, 9559, 68559, 58891, 59581, 56733, 54, 71521, 57327, 42782, 42781, 22588, 18499, 25408]",A2QZ3E3AEY887V,29,2
File explorer with recently accessed image files sorted chronologically,187,"[1, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2, 1]","[52282, 18786, 54839, 5634, 24563, 47520, 27857, 15908, 54836, 55080, 38026, 54739, 48733, 60738, 47515]",A35AR7EP102IEV,12,0
File explorer with recently accessed image files sorted chronologically,187,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[52282, 18786, 54839, 5634, 24563, 47520, 27857, 15908, 54836, 55080, 38026, 54739, 48733, 60738, 47515]",AXXA481XH6FKE,12,1
File explorer with recently accessed image files sorted chronologically,187,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[52282, 18786, 54839, 5634, 24563, 47520, 27857, 15908, 54836, 55080, 38026, 54739, 48733, 60738, 47515]",A22TLF121MRXT1,12,2
Advertisment of FedEx,454,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[28977, 57903, 57904, 57901, 57899, 57900, 57897, 57907, 57898, 10569, 39664, 64610, 45256, 68629, 33753]",A22TLF121MRXT1,4,0
Advertisment of FedEx,454,"[2, 1, 1, 1, 1, 1, 2, 0, 1, 1, 0, 2, 2, 1, 2]","[28977, 57903, 57904, 57901, 57899, 57900, 57897, 57907, 57898, 10569, 39664, 64610, 45256, 68629, 33753]",A35AR7EP102IEV,4,1
Advertisment of FedEx,454,"[2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0]","[28977, 57903, 57904, 57901, 57899, 57900, 57897, 57907, 57898, 10569, 39664, 64610, 45256, 68629, 33753]",AXXA481XH6FKE,4,2
the latest updates of football matches,93,"[2, 2, 0, 1, 0, 2, 1, 1, 0, 2, 2, 0, 2, 0, 0]","[35010, 53555, 630, 43109, 13984, 40792, 2589, 13752, 6661, 17810, 43108, 69382, 56084, 183, 65346]",A22TLF121MRXT1,139,0
the latest updates of football matches,93,"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[35010, 53555, 630, 43109, 13984, 40792, 2589, 13752, 6661, 17810, 43108, 69382, 56084, 183, 65346]",AXXA481XH6FKE,139,1
the latest updates of football matches,93,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0]","[35010, 53555, 630, 43109, 13984, 40792, 2589, 13752, 6661, 17810, 43108, 69382, 56084, 183, 65346]",A1E235KE3CSO7H,139,2
"social app with ask me, gender, ask me, chat options",341,"[1, 2, 0, 0, 2, 2, 0, 2, 1, 2, 2, 0, 2, 2, 1]","[50317, 46257, 27112, 59474, 46258, 60687, 59469, 46259, 40095, 12273, 55007, 55011, 12275, 55012, 41772]",A33LIU53SVI55G,132,0
"social app with ask me, gender, ask me, chat options",341,"[2, 1, 0, 0, 1, 1, 2, 1, 2, 1, 2, 0, 0, 0, 2]","[50317, 46257, 27112, 59474, 46258, 60687, 59469, 46259, 40095, 12273, 55007, 55011, 12275, 55012, 41772]",A35AR7EP102IEV,132,1
"social app with ask me, gender, ask me, chat options",341,"[2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]","[50317, 46257, 27112, 59474, 46258, 60687, 59469, 46259, 40095, 12273, 55007, 55011, 12275, 55012, 41772]",AXXA481XH6FKE,132,2
my profile in Azar application,20,"[2, 0, 0, 2, 2, 2, 1, 2, 2, 1, 2, 0, 0, 2, 0]","[69388, 69399, 69377, 69394, 69382, 69392, 69376, 69401, 69387, 45407, 69385, 51615, 61721, 69386, 19673]",A33LIU53SVI55G,107,0
my profile in Azar application,20,"[2, 2, 1, 1, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 0]","[69388, 69399, 69377, 69394, 69382, 69392, 69376, 69401, 69387, 45407, 69385, 51615, 61721, 69386, 19673]",AYHIH9NTPYFLY,107,1
my profile in Azar application,20,"[1, 2, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0]","[69388, 69399, 69377, 69394, 69382, 69392, 69376, 69401, 69387, 45407, 69385, 51615, 61721, 69386, 19673]",AXXA481XH6FKE,107,2
Sidebar with homepage and other options,384,"[2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]","[69790, 37797, 3573, 3576, 37795, 3577, 55490, 36460, 55493, 60645, 30733, 55494, 55492, 30942, 30941]",A22TLF121MRXT1,47,0
Sidebar with homepage and other options,384,"[2, 0, 0, 0, 0, 0, 2, 1, 2, 1, 0, 2, 2, 1, 1]","[69790, 37797, 3573, 3576, 37795, 3577, 55490, 36460, 55493, 60645, 30733, 55494, 55492, 30942, 30941]",AXXA481XH6FKE,47,1
Sidebar with homepage and other options,384,"[2, 1, 0, 2, 0, 2, 2, 0, 2, 1, 1, 2, 2, 1, 1]","[69790, 37797, 3573, 3576, 37795, 3577, 55490, 36460, 55493, 60645, 30733, 55494, 55492, 30942, 30941]",A15ZDCM9T6FXH3,47,2
login with username and password,199,"[2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[41866, 68460, 46750, 19929, 7910, 24026, 47181, 46978, 39480, 14549, 7902, 40946, 5870, 14085, 29509]",AFIK3VBMMX6G6,101,0
login with username and password,199,"[2, 2, 0, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2]","[41866, 68460, 46750, 19929, 7910, 24026, 47181, 46978, 39480, 14549, 7902, 40946, 5870, 14085, 29509]",AXXA481XH6FKE,101,1
login with username and password,199,"[2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[41866, 68460, 46750, 19929, 7910, 24026, 47181, 46978, 39480, 14549, 7902, 40946, 5870, 14085, 29509]",A22TLF121MRXT1,101,2
Navigation Drawer,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[33826, 8594, 66337, 50130, 21121, 71117, 62913, 57209, 12103, 62920, 64440, 44916, 47887, 33818, 64443]",AXXA481XH6FKE,32,0
Navigation Drawer,27,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]","[33826, 8594, 66337, 50130, 21121, 71117, 62913, 57209, 12103, 62920, 64440, 44916, 47887, 33818, 64443]",A1PVNAXKDIW5K6,32,1
Navigation Drawer,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1]","[33826, 8594, 66337, 50130, 21121, 71117, 62913, 57209, 12103, 62920, 64440, 44916, 47887, 33818, 64443]",ARJ7XWSK0Y8FJ,32,2
"weather details with temperature, pressure and relative humidity",91,"[2, 2, 2, 2, 2, 2, 1, 2, 2, 0, 2, 0, 2, 1, 2]","[682, 58875, 65452, 53167, 35327, 36325, 66930, 68010, 54919, 32859, 25852, 28760, 46540, 28349, 63695]",A35AR7EP102IEV,145,0
"weather details with temperature, pressure and relative humidity",91,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1]","[682, 58875, 65452, 53167, 35327, 36325, 66930, 68010, 54919, 32859, 25852, 28760, 46540, 28349, 63695]",AXXA481XH6FKE,145,1
"weather details with temperature, pressure and relative humidity",91,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1]","[682, 58875, 65452, 53167, 35327, 36325, 66930, 68010, 54919, 32859, 25852, 28760, 46540, 28349, 63695]",AFIK3VBMMX6G6,145,2
Open the application using a password,381,"[2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2]","[12738, 47181, 61165, 54677, 43386, 20545, 29662, 51629, 51615, 53683, 40520, 40104, 69551, 36731, 51165]",A2QZ3E3AEY887V,34,0
Open the application using a password,381,"[1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 1, 1, 1, 0, 1]","[12738, 47181, 61165, 54677, 43386, 20545, 29662, 51629, 51615, 53683, 40520, 40104, 69551, 36731, 51165]",A1I579KWWA5IEO,34,1
Open the application using a password,381,"[2, 2, 2, 1, 2, 1, 2, 2, 0, 1, 2, 1, 2, 0, 2]","[12738, 47181, 61165, 54677, 43386, 20545, 29662, 51629, 51615, 53683, 40520, 40104, 69551, 36731, 51165]",AXXA481XH6FKE,34,2
zone with different area,456,"[2, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0]","[62008, 2884, 9295, 9638, 52715, 26124, 43375, 7401, 12067, 42258, 17517, 12071, 62872, 39269, 9296]",A1PVNAXKDIW5K6,149,0
zone with different area,456,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0]","[62008, 2884, 9295, 9638, 52715, 26124, 43375, 7401, 12067, 42258, 17517, 12071, 62872, 39269, 9296]",ARJ7XWSK0Y8FJ,149,1
zone with different area,456,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[62008, 2884, 9295, 9638, 52715, 26124, 43375, 7401, 12067, 42258, 17517, 12071, 62872, 39269, 9296]",AYHIH9NTPYFLY,149,2
Pop up share area of an online shop,32,"[2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[26099, 14877, 62738, 39575, 65101, 32771, 56464, 48093, 56761, 25974, 63881, 14553, 38736, 63891, 5883]",AYHIH9NTPYFLY,37,0
Pop up share area of an online shop,32,"[2, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[26099, 14877, 62738, 39575, 65101, 32771, 56464, 48093, 56761, 25974, 63881, 14553, 38736, 63891, 5883]",AXXA481XH6FKE,37,1
Pop up share area of an online shop,32,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[26099, 14877, 62738, 39575, 65101, 32771, 56464, 48093, 56761, 25974, 63881, 14553, 38736, 63891, 5883]",A22TLF121MRXT1,37,2
shopping app with item weight description,8,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]","[20618, 23925, 4186, 4183, 941, 69527, 8337, 47928, 35127, 30125, 25179, 8170, 123, 47934, 55532]",AXXA481XH6FKE,127,0
shopping app with item weight description,8,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]","[20618, 23925, 4186, 4183, 941, 69527, 8337, 47928, 35127, 30125, 25179, 8170, 123, 47934, 55532]",A2AKNTBRMYZ95S,127,1
shopping app with item weight description,8,"[0, 1, 1, 0, 0, 1, 2, 2, 0, 2, 2, 1, 0, 1, 0]","[20618, 23925, 4186, 4183, 941, 69527, 8337, 47928, 35127, 30125, 25179, 8170, 123, 47934, 55532]",ARJ7XWSK0Y8FJ,127,2
Customer support notofication page,122,"[0, 0, 0, 1, 2, 2, 1, 2, 0, 1, 2, 2, 1, 2, 1]","[3232, 69330, 40885, 11092, 2779, 26475, 5122, 17569, 6942, 47843, 48828, 35568, 23501, 13320, 66160]",A1I579KWWA5IEO,8,0
Customer support notofication page,122,"[1, 2, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0]","[3232, 69330, 40885, 11092, 2779, 26475, 5122, 17569, 6942, 47843, 48828, 35568, 23501, 13320, 66160]",AXXA481XH6FKE,8,1
Customer support notofication page,122,"[0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 2, 2, 1, 1, 0]","[3232, 69330, 40885, 11092, 2779, 26475, 5122, 17569, 6942, 47843, 48828, 35568, 23501, 13320, 66160]",A33LIU53SVI55G,8,2
Login with radio button with calendar,133,"[2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 0, 2]","[22878, 59581, 9559, 47741, 59561, 71521, 71940, 59570, 65193, 5593, 65348, 33572, 13921, 28353, 35133]",A1PVNAXKDIW5K6,22,0
