Input.id,Input.query,annotations_list,gui_indexes_list,relevance,occurances
21,near  important places,"[(1, 2, 2), (2, 2, 2), (0, 0, 2), (0, 2, 0), (0, 0, 1), (0, 1, 1), (0, 1, 0), (0, 0, 0), (0, 1, 1), (0, 1, 2), (0, 0, 1), (1, 2, 1), (0, 2, 1), (0, 1, 2), (0, 1, 1), (1, 1, 1), (0, 1, 0), (0, 2, 1), (0, 0, 0), (0, 1, 0), (0, 2, 0), (1, 2, 1), (0, 2, 1), (0, 1, 1), (1, 2, 2), (1, 1, 1), (2, 2, 1), (0, 1, 0), (0, 2, 0), (0, 1, 0)]","[33755, 12189, 62895, 52330, 68289, 66553, 66552, 9834, 20147, 52126, 3370, 40947, 31685, 3367, 20146, 40678, 52949, 38746, 62260, 15689, 44269, 12394, 12195, 9909, 61696, 8575, 7384, 69000, 12193, 47302]","[2, 2, 0, 0, 0, 1, 0, 0, 1, 3, 0, 1, 3, 3, 1, 1, 0, 3, 0, 0, 0, 1, 3, 1, 2, 1, 2, 0, 0, 0]","[[0, 1, 2], [0, 0, 3], [2, 0, 1], [2, 0, 1], [2, 1, 0], [1, 2, 0], [2, 1, 0], [3, 0, 0], [1, 2, 0], [1, 1, 1], [2, 1, 0], [0, 2, 1], [1, 1, 1], [1, 1, 1], [1, 2, 0], [0, 3, 0], [2, 1, 0], [1, 1, 1], [3, 0, 0], [2, 1, 0], [2, 0, 1], [0, 2, 1], [1, 1, 1], [1, 2, 0], [0, 1, 2], [0, 3, 0], [0, 1, 2], [2, 1, 0], [2, 0, 1], [2, 1, 0]]"
22,stopwatch with timer,"[(2, 2, 1), (1, 0, 2), (2, 2, 2), (2, 2, 2), (1, 0, 2), (2, 2, 2), (2, 2, 1), (0, 0, 0), (2, 1, 1), (2, 2, 2), (2, 1, 1), (2, 2, 1), (0, 2, 0), (2, 2, 2), (2, 1, 2), (0, 1, 1), (0, 0, 1), (1, 2, 2), (1, 0, 2), (1, 2, 1), (2, 2, 2), (2, 2, 2), (2, 1, 2), (0, 0, 1), (2, 2, 1), (2, 2, 1), (0, 0, 0), (2, 2, 1), (0, 2, 1), (0, 0, 1)]","[36635, 61610, 47256, 47250, 61613, 47257, 47249, 1007, 11490, 18992, 53233, 11489, 12654, 46684, 18991, 37256, 59309, 17912, 56799, 70080, 63066, 63069, 58751, 8539, 54493, 58742, 37257, 8499, 54200, 37262]","[2, 3, 2, 2, 3, 2, 2, 0, 1, 2, 1, 2, 0, 2, 2, 1, 0, 2, 3, 1, 2, 2, 2, 0, 2, 2, 0, 2, 3, 0]","[[0, 1, 2], [1, 1, 1], [0, 0, 3], [0, 0, 3], [1, 1, 1], [0, 0, 3], [0, 1, 2], [3, 0, 0], [0, 2, 1], [0, 0, 3], [0, 2, 1], [0, 1, 2], [2, 0, 1], [0, 0, 3], [0, 1, 2], [1, 2, 0], [2, 1, 0], [0, 1, 2], [1, 1, 1], [0, 2, 1], [0, 0, 3], [0, 0, 3], [0, 1, 2], [2, 1, 0], [0, 1, 2], [0, 1, 2], [3, 0, 0], [0, 1, 2], [1, 1, 1], [2, 1, 0]]"
23,More options for user,"[(2, 2, 2), (1, 2, 2), (1, 2, 2), (1, 2, 2), (0, 2, 0), (0, 0, 0), (2, 2, 1), (0, 1, 0), (1, 2, 2), (2, 2, 1), (0, 0, 0), (0, 2, 2), (0, 2, 2), (0, 2, 2), (0, 0, 0), (0, 0, 2), (0, 0, 1), (2, 1, 2), (1, 2, 2), (0, 0, 0), (0, 0, 0), (2, 2, 2), (1, 0, 2), (2, 1, 1), (2, 0, 2), (1, 0, 1), (0, 0, 2), (1, 0, 2), (2, 0, 1), (0, 0, 2)]","[65727, 27059, 27052, 15880, 39155, 2274, 67673, 16134, 27046, 19707, 31202, 27058, 58448, 53100, 2270, 6609, 53107, 27055, 51704, 16054, 45959, 58447, 30648, 10203, 19704, 33637, 10217, 65542, 51952, 52508]","[2, 2, 2, 2, 0, 0, 2, 0, 2, 2, 0, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 3, 1, 2, 1, 0, 3, 3, 0]","[[0, 0, 3], [0, 1, 2], [0, 1, 2], [0, 1, 2], [2, 0, 1], [3, 0, 0], [0, 1, 2], [2, 1, 0], [0, 1, 2], [0, 1, 2], [3, 0, 0], [1, 0, 2], [1, 0, 2], [1, 0, 2], [3, 0, 0], [2, 0, 1], [2, 1, 0], [0, 1, 2], [0, 1, 2], [3, 0, 0], [3, 0, 0], [0, 0, 3], [1, 1, 1], [0, 2, 1], [1, 0, 2], [1, 2, 0], [2, 0, 1], [1, 1, 1], [1, 1, 1], [2, 0, 1]]"
24,"create, search or download anime girls images","[(1, 2, 2), (2, 2, 2), (1, 2, 2), (0, 2, 2), (0, 0, 0), (0, 0, 0), (0, 2, 2), (0, 0, 1), (0, 0, 0), (2, 2, 2), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (2, 1, 0), (2, 2, 2), (0, 0, 0), (0, 2, 0), (2, 2, 2), (1, 0, 1), (0, 1, 0), (0, 2, 0), (0, 2, 0), (2, 2, 2), (1, 2, 1), (0, 1, 0), (0, 1, 0), (0, 1, 0), (0, 2, 0), (0, 1, 0)]","[31677, 57209, 57208, 24768, 62, 38776, 31678, 57210, 57552, 24769, 53917, 39119, 6254, 61967, 40153, 53221, 39116, 37654, 65, 25213, 1616, 8860, 28442, 40156, 10274, 41180, 41416, 19079, 36821, 37655]","[2, 2, 2, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 3, 2, 0, 0, 2, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0]","[[0, 1, 2], [0, 0, 3], [0, 1, 2], [1, 0, 2], [3, 0, 0], [3, 0, 0], [1, 0, 2], [2, 1, 0], [3, 0, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [1, 1, 1], [0, 0, 3], [3, 0, 0], [2, 0, 1], [0, 0, 3], [1, 2, 0], [2, 1, 0], [2, 0, 1], [2, 0, 1], [0, 0, 3], [0, 2, 1], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 0, 1], [2, 1, 0]]"
26,Genesis + Book + Android,"[(2, 2, 1), (2, 2, 1), (2, 1, 2), (0, 1, 2), (1, 1, 0), (1, 1, 1), (0, 0, 0), (1, 1, 1), (0, 0, 0), (0, 0, 0), (2, 2, 1), (0, 0, 0), (0, 0, 0), (2, 1, 1), (1, 1, 0), (0, 0, 0), (1, 2, 1), (0, 2, 0), (0, 1, 0), (1, 2, 1), (0, 2, 0), (0, 1, 0), (1, 2, 1), (2, 2, 2), (0, 1, 0), (0, 0, 0), (1, 2, 1), (1, 2, 1), (1, 2, 0), (2, 2, 2)]","[32448, 62592, 45340, 43288, 27400, 63039, 22200, 29549, 40933, 22202, 11820, 40924, 3909, 11815, 40929, 3912, 34374, 24453, 6383, 22319, 40927, 16684, 4465, 45335, 6389, 29546, 44576, 28508, 4460, 45333]","[2, 2, 2, 3, 1, 1, 0, 1, 0, 0, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 1, 3, 2]","[[0, 1, 2], [0, 1, 2], [0, 1, 2], [1, 1, 1], [1, 2, 0], [0, 3, 0], [3, 0, 0], [0, 3, 0], [3, 0, 0], [3, 0, 0], [0, 1, 2], [3, 0, 0], [3, 0, 0], [0, 2, 1], [1, 2, 0], [3, 0, 0], [0, 2, 1], [2, 0, 1], [2, 1, 0], [0, 2, 1], [2, 0, 1], [2, 1, 0], [0, 2, 1], [0, 0, 3], [2, 1, 0], [3, 0, 0], [0, 2, 1], [0, 2, 1], [1, 1, 1], [0, 0, 3]]"
27,Navigation Drawer,"[(0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (0, 1, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (0, 0, 2), (1, 0, 1), (0, 0, 1), (1, 1, 2), (2, 0, 2), (2, 0, 2), (2, 1, 2), (0, 0, 1), (0, 0, 2), (0, 1, 2), (0, 0, 1), (0, 0, 2), (2, 1, 1), (0, 0, 2), (0, 0, 2), (2, 1, 2), (0, 0, 1), (0, 0, 2)]","[33826, 8594, 66337, 50130, 21121, 71117, 62913, 57209, 12103, 62920, 64440, 44916, 47887, 33818, 64443, 18426, 64438, 22112, 18420, 44279, 1942, 18427, 64437, 12110, 18428, 48305, 24979, 15537, 64430, 33039]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 2, 2, 0, 0, 3, 0, 0, 1, 0, 0, 2, 0, 0]","[[3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [2, 0, 1], [1, 2, 0], [2, 1, 0], [0, 2, 1], [1, 0, 2], [1, 0, 2], [0, 1, 2], [2, 1, 0], [2, 0, 1], [1, 1, 1], [2, 1, 0], [2, 0, 1], [0, 2, 1], [2, 0, 1], [2, 0, 1], [0, 1, 2], [2, 1, 0], [2, 0, 1]]"
28,Weather details for city with option in Celsius and Fahrenheit,"[(1, 2, 2), (1, 0, 1), (2, 0, 0), (1, 2, 0), (2, 1, 2), (2, 0, 0), (2, 1, 1), (0, 1, 0), (0, 1, 0), (1, 0, 1), (1, 1, 0), (0, 2, 0), (1, 0, 1), (1, 0, 0), (0, 2, 0), (1, 1, 1), (2, 1, 0), (0, 0, 0), (1, 2, 1), (0, 0, 0), (0, 0, 0), (1, 2, 1), (0, 0, 0), (0, 0, 0), (1, 2, 1), (0, 1, 0), (1, 2, 1), (1, 2, 1), (0, 1, 0), (0, 0, 0)]","[2768, 32454, 13143, 9825, 68745, 13139, 33204, 68743, 38374, 19286, 14852, 19704, 38916, 13974, 49447, 43248, 54179, 19707, 28770, 68867, 34569, 66541, 29491, 67673, 37413, 62291, 55633, 32859, 47122, 24375]","[2, 1, 0, 3, 2, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 3, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0]","[[0, 1, 2], [1, 2, 0], [2, 0, 1], [1, 1, 1], [0, 1, 2], [2, 0, 1], [0, 2, 1], [2, 1, 0], [2, 1, 0], [1, 2, 0], [1, 2, 0], [2, 0, 1], [1, 2, 0], [2, 1, 0], [2, 0, 1], [0, 3, 0], [1, 1, 1], [3, 0, 0], [0, 2, 1], [3, 0, 0], [3, 0, 0], [0, 2, 1], [3, 0, 0], [3, 0, 0], [0, 2, 1], [2, 1, 0], [0, 2, 1], [0, 2, 1], [2, 1, 0], [3, 0, 0]]"
29,search bar with list of computer accessories categories,"[(2, 2, 2), (1, 1, 2), (1, 2, 0), (0, 2, 0), (1, 1, 1), (0, 1, 0), (0, 1, 0), (1, 2, 0), (0, 1, 0), (0, 2, 0), (0, 2, 0), (0, 2, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 1, 2), (0, 2, 2), (0, 0, 1), (0, 2, 1), (0, 1, 2), (0, 0, 1), (0, 2, 2), (0, 1, 1), (0, 0, 2), (0, 2, 2), (0, 1, 1), (0, 0, 1), (0, 1, 2), (0, 1, 0), (0, 2, 1)]","[50895, 24158, 48074, 66328, 38404, 64303, 15865, 38388, 64305, 66325, 27118, 22645, 1148, 22733, 56623, 46361, 69252, 65653, 22726, 40110, 39453, 9040, 8593, 54531, 15876, 8599, 49639, 9286, 53466, 16665]","[2, 1, 3, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 3, 3, 0, 2, 1, 0, 2, 1, 0, 3, 0, 3]","[[0, 0, 3], [0, 2, 1], [1, 1, 1], [2, 0, 1], [0, 3, 0], [2, 1, 0], [2, 1, 0], [1, 1, 1], [2, 1, 0], [2, 0, 1], [2, 0, 1], [2, 0, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 1, 1], [1, 0, 2], [2, 1, 0], [1, 1, 1], [1, 1, 1], [2, 1, 0], [1, 0, 2], [1, 2, 0], [2, 0, 1], [1, 0, 2], [1, 2, 0], [2, 1, 0], [1, 1, 1], [2, 1, 0], [1, 1, 1]]"
32,Pop up share area of an online shop,"[(2, 2, 2), (0, 1, 0), (0, 0, 0), (0, 1, 0), (1, 1, 0), (0, 0, 0), (1, 1, 0), (0, 1, 0), (0, 0, 0), (0, 1, 0), (0, 1, 0), (0, 0, 0), (0, 1, 0), (0, 1, 0), (0, 0, 0), (0, 0, 0), (2, 2, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (2, 1, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[26099, 14877, 62738, 39575, 65101, 32771, 56464, 48093, 56761, 25974, 63881, 14553, 38736, 63891, 5883, 42733, 20634, 9810, 14300, 31100, 20632, 34695, 72152, 56472, 9505, 1283, 31101, 38737, 69954, 9506]","[2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[0, 0, 3], [2, 1, 0], [3, 0, 0], [2, 1, 0], [1, 2, 0], [3, 0, 0], [1, 2, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [1, 0, 2], [3, 0, 0], [2, 1, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0]]"
34,healthcare pulse app,"[(0, 0, 0), (0, 0, 1), (2, 1, 0), (0, 0, 0), (0, 0, 1), (0, 0, 0), (0, 2, 2), (0, 1, 2), (0, 0, 1), (0, 1, 1), (1, 0, 1), (0, 0, 0), (0, 2, 1), (0, 0, 1), (0, 0, 1), (2, 2, 2), (0, 0, 0), (0, 0, 0), (2, 2, 2), (0, 0, 0), (0, 0, 0), (0, 1, 1), (0, 0, 0), (0, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 1), (1, 1, 1), (0, 0, 0), (0, 0, 0)]","[25921, 60471, 36730, 35344, 42342, 26820, 26392, 62246, 26819, 36956, 65882, 26816, 63642, 31032, 15897, 62002, 42672, 26814, 43377, 31029, 42671, 35342, 44746, 63983, 57850, 63989, 63637, 63650, 42972, 26815]","[0, 0, 3, 0, 0, 0, 2, 3, 0, 1, 1, 0, 3, 0, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[[3, 0, 0], [2, 1, 0], [1, 1, 1], [3, 0, 0], [2, 1, 0], [3, 0, 0], [1, 0, 2], [1, 1, 1], [2, 1, 0], [1, 2, 0], [1, 2, 0], [3, 0, 0], [1, 1, 1], [2, 1, 0], [2, 1, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [0, 0, 3], [3, 0, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [0, 3, 0], [3, 0, 0], [3, 0, 0]]"
36,bookmark,"[(2, 2, 2), (0, 0, 0), (2, 2, 2), (2, 2, 2), (2, 2, 2), (1, 1, 0), (2, 2, 2), (1, 2, 2), (2, 2, 2), (2, 2, 2), (0, 0, 0), (1, 2, 2), (1, 0, 0), (0, 0, 0), (2, 2, 2), (2, 1, 1), (2, 1, 2), (1, 0, 0), (2, 2, 2), (0, 0, 0), (2, 2, 2), (2, 0, 1), (1, 0, 0), (2, 0, 1), (0, 0, 0), (0, 0, 0), (2, 0, 2), (0, 0, 0), (0, 0, 0), (2, 0, 2)]","[9332, 61381, 41408, 57786, 38945, 37308, 23769, 2471, 60130, 2474, 54010, 11951, 64925, 224, 41414, 28617, 56739, 9990, 32768, 63074, 62742, 22208, 66750, 18448, 46383, 12844, 65294, 40780, 12836, 23669]","[2, 0, 2, 2, 2, 1, 2, 2, 2, 2, 0, 2, 0, 0, 2, 1, 2, 0, 2, 0, 2, 3, 0, 3, 0, 0, 2, 0, 0, 2]","[[0, 0, 3], [3, 0, 0], [0, 0, 3], [0, 0, 3], [0, 0, 3], [1, 2, 0], [0, 0, 3], [0, 1, 2], [0, 0, 3], [0, 0, 3], [3, 0, 0], [0, 1, 2], [2, 1, 0], [3, 0, 0], [0, 0, 3], [0, 2, 1], [0, 1, 2], [2, 1, 0], [0, 0, 3], [3, 0, 0], [0, 0, 3], [1, 1, 1], [2, 1, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [1, 0, 2], [3, 0, 0], [3, 0, 0], [1, 0, 2]]"
47,Fashion dressing ideas with image overview,"[(0, 2, 1), (0, 2, 1), (2, 2, 1), (2, 2, 2), (2, 2, 0), (0, 0, 0), (0, 0, 0), (0, 0, 1), (1, 1, 0), (0, 0, 2), (0, 0, 0), (0, 0, 1), (0, 0, 0), (0, 0, 1), (1, 1, 1), (2, 2, 2), (1, 1, 2), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (0, 0, 0), (1, 2, 1), (0, 0, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 1)]","[9800, 9797, 9802, 9798, 9799, 8522, 55542, 15739, 56782, 10428, 62619, 28568, 55540, 31044, 56785, 6405, 56781, 27544, 9511, 48754, 5907, 52945, 56784, 25989, 37690, 4185, 44253, 52947, 38667, 43614]","[3, 3, 2, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[[1, 1, 1], [1, 1, 1], [0, 1, 2], [0, 0, 3], [1, 0, 2], [3, 0, 0], [3, 0, 0], [2, 1, 0], [1, 2, 0], [2, 0, 1], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [0, 3, 0], [0, 0, 3], [0, 2, 1], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [0, 2, 1], [2, 0, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0]]"
49,Mobile Home Screen Background,"[(2, 2, 2), (0, 0, 0), (2, 1, 1), (2, 0, 0), (2, 1, 1), (0, 0, 1), (0, 0, 1), (0, 0, 0), (2, 0, 2), (1, 0, 1), (1, 0, 1), (2, 0, 0), (2, 1, 1), (2, 0, 1), (2, 0, 0), (1, 0, 0), (0, 0, 0), (0, 1, 2), (0, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 2, 2), (1, 0, 0), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 0, 0)]","[31772, 32130, 52770, 54984, 15531, 64821, 28763, 64025, 18821, 20593, 39093, 4395, 33733, 35338, 7783, 67266, 70742, 7601, 13947, 64414, 4396, 1812, 38807, 39114, 43272, 57349, 47474, 45674, 36103, 41770]","[2, 0, 1, 0, 1, 0, 0, 0, 2, 1, 1, 0, 1, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]","[[0, 0, 3], [3, 0, 0], [0, 2, 1], [2, 0, 1], [0, 2, 1], [2, 1, 0], [2, 1, 0], [3, 0, 0], [1, 0, 2], [1, 2, 0], [1, 2, 0], [2, 0, 1], [0, 2, 1], [1, 1, 1], [2, 0, 1], [2, 1, 0], [3, 0, 0], [1, 1, 1], [3, 0, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 0, 2], [2, 1, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0]]"
50,"Delivery details input boxes for address and buttons for home, work or other","[(2, 2, 2), (2, 2, 2), (1, 1, 2), (0, 0, 0), (0, 0, 1), (1, 1, 2), (1, 1, 1), (1, 0, 0), (0, 0, 0), (0, 0, 0), (0, 1, 2), (1, 1, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (1, 2, 2), (0, 0, 1), (0, 2, 1), (0, 0, 0), (0, 0, 0), (0, 2, 1), (0, 2, 2), (0, 0, 0), (0, 2, 0), (0, 2, 2), (0, 0, 0), (0, 2, 2), (1, 1, 2)]","[66919, 66923, 55571, 15866, 66920, 55575, 2005, 51945, 33699, 43208, 63115, 50090, 56435, 51940, 59549, 62030, 51942, 28235, 4964, 50166, 24688, 12061, 61977, 50925, 61551, 50165, 13558, 14913, 51944, 50930]","[2, 2, 1, 0, 0, 1, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 3, 2, 0, 0, 2, 0, 2, 1]","[[0, 0, 3], [0, 0, 3], [0, 2, 1], [3, 0, 0], [2, 1, 0], [0, 2, 1], [0, 3, 0], [2, 1, 0], [3, 0, 0], [3, 0, 0], [1, 1, 1], [0, 2, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [0, 1, 2], [2, 1, 0], [1, 1, 1], [3, 0, 0], [3, 0, 0], [1, 1, 1], [1, 0, 2], [3, 0, 0], [2, 0, 1], [1, 0, 2], [3, 0, 0], [1, 0, 2], [0, 2, 1]]"
54,Information with sharing and saving option,"[(2, 2, 2), (1, 1, 0), (1, 0, 2), (1, 0, 0), (0, 1, 0), (2, 1, 2), (1, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (0, 1, 0), (0, 2, 0), (0, 1, 0), (0, 0, 0), (0, 2, 0), (0, 1, 0), (0, 1, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 0, 0), (1, 1, 0), (0, 0, 0), (0, 0, 0), (0, 1, 1), (0, 1, 1), (0, 0, 0)]","[53446, 36879, 55986, 62888, 9920, 57917, 50410, 61684, 33303, 25982, 31172, 19704, 38513, 13127, 19707, 67334, 65304, 34569, 7260, 42402, 67673, 56004, 42407, 49336, 3772, 67440, 49332, 47400, 23149, 49344]","[2, 1, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]","[[0, 0, 3], [1, 2, 0], [1, 1, 1], [2, 1, 0], [2, 1, 0], [0, 1, 2], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 0, 1], [2, 1, 0], [3, 0, 0], [2, 0, 1], [2, 1, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [3, 0, 0], [3, 0, 0], [1, 2, 0], [1, 2, 0], [3, 0, 0]]"
54,celebrity news,"[(2, 1, 2), (0, 1, 0), (2, 1, 2), (0, 1, 0), (2, 2, 2), (1, 1, 1), (1, 1, 2), (1, 1, 1), (0, 0, 1), (1, 1, 2), (0, 0, 0), (0, 0, 0), (1, 1, 2), (0, 1, 0), (1, 1, 2), (0, 0, 0), (0, 0, 0), (0, 0, 0), (0, 1, 0), (0, 0, 0), (0, 1, 0), (2, 2, 2), (0, 0, 0), (1, 1, 0), (2, 2, 2), (2, 1, 2), (2, 1, 1), (2, 2, 2), (0, 0, 0), (1, 1, 1)]","[41197, 8198, 34949, 13837, 64845, 54133, 68818, 48902, 71379, 68814, 66386, 16515, 68816, 50096, 68811, 1570, 36553, 1565, 39166, 62454, 43051, 35531, 62518, 18870, 62374, 50097, 43821, 35532, 41590, 43824]","[2, 0, 2, 0, 2, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 2, 1, 2, 0, 1]","[[0, 1, 2], [2, 1, 0], [0, 1, 2], [2, 1, 0], [0, 0, 3], [0, 3, 0], [0, 2, 1], [0, 3, 0], [2, 1, 0], [0, 2, 1], [3, 0, 0], [3, 0, 0], [0, 2, 1], [2, 1, 0], [0, 2, 1], [3, 0, 0], [3, 0, 0], [3, 0, 0], [2, 1, 0], [3, 0, 0], [2, 1, 0], [0, 0, 3], [3, 0, 0], [1, 2, 0], [0, 0, 3], [0, 1, 2], [0, 2, 1], [0, 0, 3], [3, 0, 0], [0, 3, 0]]"
55,choose thw word preferences,"[(2, 2, 2), (0, 0, 0), (0, 1, 2), (0, 1, 2), (0, 0, 0), (0, 2, 1), (1, 1, 1), (1, 0, 0), (0, 1, 1), (0, 1, 0), (0, 1, 0), (0, 2, 0), (0, 2, 0), (0, 1, 0), (0, 2, 2), (1, 0, 0), (0, 0, 0), (1, 2, 1), (1, 2, 1), (0, 0, 0), (0, 2, 0), (2, 0, 0), (1, 0, 0), (1, 1, 1), (0, 0, 0), (1, 0, 0), (0, 1, 0), (1, 0, 0), (1, 0, 1), (0, 2, 0)]","[59124, 29602, 63971, 2266, 29598, 63973, 54757, 44037, 48413, 2229, 27819, 45690, 48586, 30659, 35614, 27934, 19320, 11674, 49342, 29597, 37849, 37602, 8151, 66404, 63390, 9566, 57064, 35619, 56933, 16370]","[2, 0, 3, 3, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[[0, 0, 3], [3, 0, 0], [1, 1, 1], [1, 1, 1], [3, 0, 0], [1, 1, 1], [0, 3, 0], [2, 1, 0], [1, 2, 0], [2, 1, 0], [2, 1, 0], [2, 0, 1], [2, 0, 1], [2, 1, 0], [1, 0, 2], [2, 1, 0], [3, 0, 0], [0, 2, 1], [0, 2, 1], [3, 0, 0], [2, 0, 1], [2, 0, 1], [2, 1, 0], [0, 3, 0], [3, 0, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0], [1, 2, 0], [2, 0, 1]]"
57,Navigation app with setting location and destination,"[(2, 2, 2), (0, 1, 1), (1, 0, 0), (0, 0, 1), (2, 1, 2), (1, 0, 0), (2, 2, 1), (0, 0, 0), (2, 0, 0), (2, 2, 1), (0, 2, 2), (0, 1, 0), (2, 2, 1), (0, 0, 0), (0, 0, 0), (1, 2, 0), (2, 2, 1), (0, 0, 0), (2, 2, 1), (0, 0, 1), (0, 0, 1), (2, 2, 0), (0, 0, 0), (0, 0, 1), (0, 2, 1), (0, 0, 0), (0, 0, 1), (0, 2, 1), (0, 0, 1), (0, 0, 0)]","[52332, 1105, 9716, 36229, 8954, 9733, 36225, 31409, 9718, 34251, 48293, 68160, 34256, 50263, 36177, 55489, 54497, 52329, 16321, 5772, 43706, 16317, 70060, 65308, 25717, 63928, 65302, 9717, 45434, 1086]","[2, 1, 0, 0, 2, 0, 2, 0, 0, 2, 2, 0, 2, 0, 0, 3, 2, 0, 2, 0, 0, 2, 0, 0, 3, 0, 0, 3, 0, 0]","[[0, 0, 3], [1, 2, 0], [2, 1, 0], [2, 1, 0], [0, 1, 2], [2, 1, 0], [0, 1, 2], [3, 0, 0], [2, 0, 1], [0, 1, 2], [1, 0, 2], [2, 1, 0], [0, 1, 2], [3, 0, 0], [3, 0, 0], [1, 1, 1], [0, 1, 2], [3, 0, 0], [0, 1, 2], [2, 1, 0], [2, 1, 0], [1, 0, 2], [3, 0, 0], [2, 1, 0], [1, 1, 1], [3, 0, 0], [2, 1, 0], [1, 1, 1], [2, 1, 0], [3, 0, 0]]"
