id,query,gui_index,WorkerId
67,"A Social media app with options like chat, mute and Followers",11396,A32ATJF7ZENBWH
103,timetable with title and place,63425,A1R6ELRI4GR9XF
55,choose thw word preferences,59124,A3CR6XU8373Z2N
156,"Read Qur‘an, Last read history, search specific parts,prayer time,settings",8904,A3IP4RARMM3X4A
292,displays the latest news in page,79,A2TXLKAOJJ9BEK
295,news,64920,A20EIK9C477PTC
2,"search bar with links ,articles and personal option",9370,A3NDKVYPTBWPEO
119,music score chart with audio,2153,A8PRJZR3J6UTF
28,Weather details for city with option in Celsius and Fahrenheit,2768,A2NA5304C0C5FQ
123,Tutorial for dog training,46851,A1NW9UWTFS14S5
202,Music playlist,44035,AVRMXTZHUCXXL
359,a survery app with sinup and facebook login option,9551,A32ATJF7ZENBWH
50,"Delivery details input boxes for address and buttons for home, work or other",66919,A3G2CWQ5OV8AHE
240,online shopping app,69252,A2KNN0T650FQ01
23,More options for user,65727,A34Z73OAWYW014
353,Vippi GUI sign up interface,38658,A23IXWZNWDLTNT
195,"Text (story) reading with formatting options, search functionality",27223,A12EE9K9VY7XXF
133,Login with radio button with calendar,22878,A3NDKVYPTBWPEO
77,Location with location selected as current location,56197,A34Z73OAWYW014
108,books,14877,A20EIK9C477PTC
199,login with username and password,41866,A1WH1CTOZHV7YR
381,Open the application using a password,12738,A3IP4RARMM3X4A
192,headlines tody,25862,A27GOFWHEHV758
143,Find friends,69561,ASL3NA8PT15JU
299,Tiny Scanner,60292,A1NFUUQF4T9KXM
236,search bar with serch list and home menus,16224,A2G11CAPXX5616
172,find your current location,42138,A23IXWZNWDLTNT
