id,query,WorkerId
456,zone with different area,A1P9OU1YPIQVW7
145,cars seller with location button,A3CUDF4JR3QTS4
17,customer complaint service,A2KNN0T650FQ01
194,login screen with email and password or via facebook or google,A1NFUUQF4T9KXM
155,option screen with user account,A3G2CWQ5OV8AHE
349,cover page of book with author name,A2TXLKAOJJ9BEK
128,create customized emoji,AFWTKS209SFQY
81,online dating,A1FV1XP2UU0EVH
22,stopwatch with timer,AFWYEWB3W0ZSB
20,my profile in Azar application,AV5170KNIBKL6
341,"social app with ask me, gender, ask me, chat options",A32ATJF7ZENBWH
423,"saving items with complete , complete this group manually or exit",A1R6ELRI4GR9XF
191,Product listing with main filter,A3HN5JOPRIKMNU
80,verify entered information before proceeding,AFWTKS209SFQY
404,music instruments with highest reviews,A8PRJZR3J6UTF
210,task scheduler app showing task handlers,A8PRJZR3J6UTF
346,search cellular locations,A3CR6XU8373Z2N
412,Scientific Calculator Mobile Application,AE2M19TCQJWI
207,football match details with upcoming match information,AV5170KNIBKL6
327,buying boats,A6KII16FVGPFF
67,"A Social media app with options like chat, mute and Followers",A32ATJF7ZENBWH
103,timetable with title and place,A1R6ELRI4GR9XF
55,choose thw word preferences,A3CR6XU8373Z2N
156,"Read Qur‘an, Last read history, search specific parts,prayer time,settings",A3IP4RARMM3X4A
292,displays the latest news in page,A2TXLKAOJJ9BEK
295,news,A20EIK9C477PTC
2,"search bar with links ,articles and personal option",A3NDKVYPTBWPEO
119,music score chart with audio,A8PRJZR3J6UTF
28,Weather details for city with option in Celsius and Fahrenheit,A2NA5304C0C5FQ
123,Tutorial for dog training,A1NW9UWTFS14S5
202,Music playlist,AVRMXTZHUCXXL
359,a survery app with sinup and facebook login option,A32ATJF7ZENBWH
50,"Delivery details input boxes for address and buttons for home, work or other",A3G2CWQ5OV8AHE
240,online shopping app,A2KNN0T650FQ01
23,More options for user,A34Z73OAWYW014
353,Vippi GUI sign up interface,A23IXWZNWDLTNT
195,"Text (story) reading with formatting options, search functionality",A12EE9K9VY7XXF
133,Login with radio button with calendar,A3NDKVYPTBWPEO
77,Location with location selected as current location,A34Z73OAWYW014
108,books,A20EIK9C477PTC
199,login with username and password,A1WH1CTOZHV7YR
381,Open the application using a password,A3IP4RARMM3X4A
192,headlines tody,A27GOFWHEHV758
143,Find friends,ASL3NA8PT15JU
299,Tiny Scanner,A1NFUUQF4T9KXM
236,search bar with serch list and home menus,A2G11CAPXX5616
172,find your current location,A23IXWZNWDLTNT
