query,gui_indexes,relevance
search bar with list of computer accessories categories,"[50895, 24158, 48074, 66328, 38404, 64303, 15865, 38388, 64305, 66325, 27118, 22645, 1148, 22733, 56623, 46361, 69252, 65653, 22726, 40110, 39453, 9040, 8593, 54531, 15876, 8599, 49639, 9286, 53466, 16665]","[2, 1, 3, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 3, 3, 0, 2, 1, 0, 2, 1, 0, 3, 0, 3]"
Pop up share area of an online shop,"[26099, 14877, 62738, 39575, 65101, 32771, 56464, 48093, 56761, 25974, 63881, 14553, 38736, 63891, 5883, 42733, 20634, 9810, 14300, 31100, 20632, 34695, 72152, 56472, 9505, 1283, 31101, 38737, 69954, 9506]","[2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
healthcare pulse app,"[25921, 60471, 36730, 35344, 42342, 26820, 26392, 62246, 26819, 36956, 65882, 26816, 63642, 31032, 15897, 62002, 42672, 26814, 43377, 31029, 42671, 35342, 44746, 63983, 57850, 63989, 63637, 63650, 42972, 26815]","[0, 0, 3, 0, 0, 0, 2, 3, 0, 1, 1, 0, 3, 0, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
bookmark,"[9332, 61381, 41408, 57786, 38945, 37308, 23769, 2471, 60130, 2474, 54010, 11951, 64925, 224, 41414, 28617, 56739, 9990, 32768, 63074, 62742, 22208, 66750, 18448, 46383, 12844, 65294, 40780, 12836, 23669]","[2, 0, 2, 2, 2, 1, 2, 2, 2, 2, 0, 2, 0, 0, 2, 1, 2, 0, 2, 0, 2, 3, 0, 3, 0, 0, 2, 0, 0, 2]"
Fashion dressing ideas with image overview,"[9800, 9797, 9802, 9798, 9799, 8522, 55542, 15739, 56782, 10428, 62619, 28568, 55540, 31044, 56785, 6405, 56781, 27544, 9511, 48754, 5907, 52945, 56784, 25989, 37690, 4185, 44253, 52947, 38667, 43614]","[3, 3, 2, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Mobile Home Screen Background,"[31772, 32130, 52770, 54984, 15531, 64821, 28763, 64025, 18821, 20593, 39093, 4395, 33733, 35338, 7783, 67266, 70742, 7601, 13947, 64414, 4396, 1812, 38807, 39114, 43272, 57349, 47474, 45674, 36103, 41770]","[2, 0, 1, 0, 1, 0, 0, 0, 2, 1, 1, 0, 1, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
choose thw word preferences,"[59124, 29602, 63971, 2266, 29598, 63973, 54757, 44037, 48413, 2229, 27819, 45690, 48586, 30659, 35614, 27934, 19320, 11674, 49342, 29597, 37849, 37602, 8151, 66404, 63390, 9566, 57064, 35619, 56933, 16370]","[2, 0, 3, 3, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
Navigation app with setting location and destination,"[52332, 1105, 9716, 36229, 8954, 9733, 36225, 31409, 9718, 34251, 48293, 68160, 34256, 50263, 36177, 55489, 54497, 52329, 16321, 5772, 43706, 16317, 70060, 65308, 25717, 63928, 65302, 9717, 45434, 1086]","[2, 1, 0, 0, 2, 0, 2, 0, 0, 2, 2, 0, 2, 0, 0, 3, 2, 0, 2, 0, 0, 2, 0, 0, 3, 0, 0, 3, 0, 0]"
dictionary page  with words shown,"[27349, 61344, 45665, 61345, 61318, 61333, 61348, 61335, 35226, 61339, 25592, 71902, 71905, 61322, 35235, 61340, 61327, 28511, 61312, 8890, 28481, 71913, 1269, 27413, 60012, 61336, 18467, 71908, 61326, 27410]","[0, 1, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0]"
page not found report with search bar and recent posts,"[10135, 17092, 37760, 68039, 64856, 39648, 23126, 37759, 35252, 38234, 5501, 35242, 68272, 28647, 65328, 23144, 23143, 38230, 38224, 49884, 38231, 68044, 61891, 9227, 23135, 71958, 43019, 31770, 56624, 36413]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"option bar, multiple preview of data","[23868, 49872, 19704, 18491, 31125, 19707, 22109, 36472, 34569, 64639, 68851, 67673, 30729, 22561, 49456, 10097, 34078, 22596, 2748, 21310, 22591, 16222, 26938, 49336, 39081, 21311, 49332, 62664, 21304, 49344]","[3, 1, 2, 1, 2, 1, 1, 0, 1, 1, 0, 1, 1, 0, 3, 1, 2, 0, 3, 0, 3, 1, 0, 0, 2, 0, 3, 2, 0, 0]"
AN android app,"[66756, 40068, 49622, 34329, 70797, 667, 51804, 54580, 26774, 30138, 51254, 61162, 30137, 26775, 38354, 61871, 55730, 61159, 30147, 13987, 61010, 52193, 52865, 11152, 61163, 66865, 38356, 31937, 50401, 12956]","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 3, 0, 2, 0, 0, 2, 3, 0, 0, 2, 0, 0, 2]"
"A Social media app with options like chat, mute and Followers","[11396, 28867, 39314, 62505, 28868, 17094, 17092, 11390, 64159, 33749, 11398, 65475, 15587, 62508, 32813, 7632, 56740, 56973, 33748, 11389, 65479, 17091, 62502, 54068, 24579, 62504, 32811, 53259, 56053, 32810]","[2, 3, 1, 0, 0, 3, 0, 1, 0, 3, 3, 2, 0, 3, 2, 0, 0, 0, 0, 1, 0, 3, 0, 0, 2, 2, 0, 2, 0, 0]"
Location with location selected as current location,"[56197, 58770, 28541, 32832, 8705, 51084, 50631, 69933, 26020, 50625, 46556, 28757, 11838, 54530, 43184, 34928, 37205, 57777, 56208, 26443, 57775, 26230, 37281, 67073, 1549, 49229, 48062, 26928, 66587, 49233]","[0, 2, 0, 3, 3, 0, 3, 0, 0, 1, 0, 1, 0, 2, 3, 2, 0, 2, 2, 0, 2, 2, 2, 1, 2, 2, 2, 2, 0, 2]"
Information with detailed explanation text of fitness exercises and a corresponding graphic,"[42594, 61621, 9110, 44132, 61607, 31807, 12659, 31810, 55881, 12655, 26180, 50739, 30839, 61625, 50754, 24724, 13178, 58734, 16658, 8252, 50750, 61960, 63225, 31803, 9531, 61619, 16379, 52316, 17212, 14056]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 3, 0, 1, 1, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
verify entered information before proceeding,"[34225, 9513, 11293, 55807, 60630, 69287, 13417, 34405, 13421, 39852, 28632, 4638, 20288, 25342, 71320, 31247, 27982, 15684, 40877, 3208, 15697, 71313, 56173, 54678, 51365, 63092, 998, 70487, 57265, 61767]","[2, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 2, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2]"
open with notification with paly store or browser,"[28811, 64065, 33769, 15596, 37358, 54834, 65995, 7311, 3777, 51903, 13381, 29842, 69445, 11725, 25974, 69446, 2735, 26474, 17431, 41314, 61816, 53915, 57363, 51276, 55550, 34400, 50903, 40665, 2591, 59823]","[3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 2, 0, 0, 2, 0, 3, 2, 0, 0, 2, 0]"
informative list contents,"[53447, 1870, 49771, 65532, 45105, 1867, 34388, 65529, 49766, 65523, 65528, 65522, 55590, 70936, 21223, 49867, 60601, 1286, 14545, 41249, 14054, 34373, 41244, 26954, 14551, 45108, 945, 19421, 21488, 64533]","[1, 2, 1, 3, 2, 1, 1, 3, 2, 3, 3, 3, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 1, 0, 2, 0, 0, 0, 3]"
Menstrual calendar with body temperature,"[28339, 14252, 22876, 36575, 42316, 14248, 16983, 60084, 65193, 22879, 59590, 33572, 16986, 59134, 35133, 22869, 69898, 35129, 22874, 69896, 35128, 22881, 60076, 35130, 22890, 14255, 44316, 22886, 14250, 47788]","[3, 3, 3, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 3, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 1, 0]"
show map,"[51065, 71036, 52816, 52817, 70527, 12687, 4218, 64043, 7084, 66555, 71034, 70756, 13257, 16898, 60544, 41480, 51331, 24475, 881, 53159, 2754, 13259, 1756, 49502, 63529, 53389, 13160, 61043, 54541, 48325]","[2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 1, 2, 0, 1, 2, 2, 1, 0, 2, 2, 2, 0, 2]"
the latest updates of football matches,"[35010, 53555, 630, 43109, 13984, 40792, 2589, 13752, 6661, 17810, 43108, 69382, 56084, 183, 65346, 63812, 19621, 33805, 3223, 8297, 8192, 57926, 6581, 20858, 56081, 39006, 199, 800, 644, 1054]","[3, 3, 0, 0, 0, 3, 0, 1, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
Setting screen of a time planer,"[48465, 27956, 68160, 43706, 27957, 36177, 65308, 65804, 52329, 54057, 49273, 39131, 15362, 28512, 1086, 65302, 60660, 8239, 70060, 56055, 12415, 49276, 23582, 49534, 4194, 11299, 54257, 65726, 37550, 12616]","[3, 1, 1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
timetable with title and place,"[63425, 63431, 63421, 63423, 4852, 63420, 63417, 63427, 63422, 26061, 32523, 49645, 63523, 4848, 30809, 63515, 63519, 32524, 36133, 32522, 43558, 3715, 4846, 10610, 63516, 8574, 28150, 35268, 35331, 28124]","[2, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 3, 3, 1, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0]"
books,"[14877, 45340, 24714, 22216, 24712, 25345, 40924, 52517, 25347, 24453, 45335, 25700, 40927, 45333, 20355, 40933, 3938, 22204, 40929, 3936, 9988, 7228, 49720, 25346, 34198, 14601, 45365, 71468, 49723, 40590]","[2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 0, 0, 0, 0, 1, 2, 1, 0, 0, 2]"
weight loss foods blog,"[68510, 3414, 8365, 3415, 6048, 8346, 44868, 6041, 23128, 8363, 132, 23141, 31693, 40229, 23129, 216, 68508, 52137, 8339, 50341, 51764, 60614, 112, 59311, 41578, 41577, 23131, 41583, 135, 35127]","[2, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 1, 0, 1, 2, 3, 3, 1, 2, 3, 1, 0, 1, 0, 1, 2, 0]"
"Application with weekly ad, rewards, account, products and projects that can be add to My List","[57640, 51849, 15888, 23206, 55466, 46794, 23212, 33170, 46814, 48018, 12318, 46799, 16825, 45736, 62141, 57651, 10476, 23579, 40882, 12316, 16, 6911, 21186, 53541, 6910, 13556, 20783, 8092, 38736, 53547]","[2, 0, 0, 3, 1, 0, 1, 1, 0, 3, 0, 1, 0, 1, 1, 2, 2, 0, 0, 2, 0, 3, 2, 0, 0, 0, 0, 0, 2, 0]"
music score chart with audio,"[2153, 22181, 22182, 5368, 4512, 48086, 39043, 4524, 21406, 70553, 8147, 28036, 66227, 8149, 21412, 31085, 30010, 27088, 70544, 64416, 66226, 22335, 59384, 66229, 4599, 45385, 27089, 70548, 39494, 62596]","[0, 2, 2, 1, 0, 0, 0, 1, 0, 3, 0, 0, 3, 0, 0, 2, 0, 1, 2, 2, 2, 1, 2, 2, 0, 1, 2, 1, 3, 3]"
Customer support notofication page,"[3232, 69330, 40885, 11092, 2779, 26475, 5122, 17569, 6942, 47843, 48828, 35568, 23501, 13320, 66160, 11090, 70857, 41171, 28822, 39395, 35572, 12072, 48827, 3521, 35290, 47944, 11320, 40882, 16893, 6930]","[0, 0, 1, 1, 0, 3, 3, 3, 0, 0, 2, 2, 1, 2, 0, 1, 3, 0, 2, 3, 2, 0, 1, 0, 3, 2, 3, 0, 0, 0]"
Tutorial for dog training,"[46851, 46848, 1829, 68292, 3836, 3716, 35540, 3826, 3712, 47382, 3838, 5948, 57909, 3828, 5941, 40308, 63805, 5937, 19699, 68298, 58017, 58005, 68291, 17235, 2743, 47774, 57146, 13072, 47777, 48312]","[2, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
create customized emoji,"[283, 54287, 71078, 19912, 23208, 63011, 19908, 6648, 45702, 19913, 68703, 62124, 22428, 68698, 10693, 31028, 6647, 68796, 34545, 15851, 70055, 31021, 32728, 35910, 1041, 15833, 70066, 57129, 66387, 3423]","[2, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 3, 3, 1, 3, 0, 1, 2, 3, 1, 2, 1, 1, 2, 1, 0, 2]"
A guy picture on a social network,"[46313, 18442, 31184, 16391, 18443, 31183, 34410, 18432, 69105, 46286, 34414, 44847, 17848, 51001, 618, 26880, 3161, 5873, 25133, 18439, 38591, 28831, 31853, 3328, 7632, 10592, 22820, 34603, 34614, 22816]","[2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a screen with information about particular app,"[3951, 5674, 6022, 32143, 51111, 66979, 61110, 3013, 41333, 40525, 10622, 29729, 8653, 31797, 67334, 57846, 71653, 29727, 43988, 41306, 18821, 25421, 56795, 47400, 62563, 59483, 7601, 25035, 40420, 45674]","[3, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 0, 0, 2, 2, 3, 0, 0, 0, 2, 2, 0]"
Find friends,"[69561, 11369, 68947, 14555, 68945, 36134, 5566, 3720, 37533, 69401, 28273, 60023, 69388, 7355, 47383, 47273, 64872, 44125, 20793, 49624, 20791, 20796, 16079, 29524, 15175, 19595, 20795, 20792, 63512, 2304]","[2, 1, 2, 2, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 3, 3, 2, 0, 1, 2, 2, 3, 3, 3, 0, 3, 2]"
short tutorial and instructions for a game with option to go back to previous menu,"[33529, 71255, 48403, 65142, 39192, 8143, 71261, 10672, 42136, 19838, 10681, 5948, 57909, 39196, 5937, 71260, 26853, 5941, 30408, 20422, 57146, 72175, 26854, 58017, 57149, 12228, 50994, 51477, 71256, 28029]","[2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1]"
cars seller with location button,"[30614, 10556, 45098, 15394, 11852, 45100, 27690, 11853, 27685, 27680, 10550, 27682, 8261, 10549, 56787, 13924, 10553, 63601, 32322, 63306, 25664, 13922, 65950, 63599, 36293, 65963, 12865, 8272, 40804, 61236]","[2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0]"
Spanish news with figuers and search option,"[58638, 21463, 19704, 58974, 21948, 19707, 32229, 21949, 34569, 25018, 21946, 67673, 59619, 4661, 49336, 17475, 4668, 49332, 21947, 4645, 49344, 26078, 11569, 49338, 47655, 4656, 49335, 30071, 11580, 49334]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
directory for saving contact information of various establishments,"[61559, 30980, 33303, 48955, 22600, 29382, 48948, 60425, 907, 35661, 19048, 25982, 67334, 36704, 55708, 41333, 42402, 908, 21336, 68999, 66228, 38051, 42407, 46777, 16295, 64931, 11921, 47400, 46697, 29376]","[2, 0, 0, 1, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
option screen with user account,"[59841, 22528, 19704, 67673, 37088, 34569, 19707, 41916, 38513, 29823, 62828, 49336, 58777, 6139, 49332, 15880, 62830, 49344, 58448, 31145, 49338, 31125, 41917, 49335, 6609, 5887, 49334, 2827, 68745, 21880]","[2, 0, 0, 0, 2, 0, 3, 3, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Read Qur‘an, Last read history, search specific parts,prayer time,settings","[8904, 25637, 40161, 40171, 8909, 40164, 36505, 11812, 46050, 8903, 25632, 40166, 53671, 69844, 46051, 34380, 23219, 26154, 15376, 49616, 20707, 15378, 49619, 20708, 72062, 44170, 46254, 547, 64528, 5917]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
Overview over own accounts and the amount of money on them,"[13111, 31133, 8522, 27544, 16817, 55542, 38960, 2180, 10428, 42283, 2184, 55540, 34834, 13353, 5907, 43707, 53604, 25989, 24648, 70291, 44253, 16825, 49408, 20907, 24649, 31134, 10278, 27547, 44120, 48754]","[2, 2, 0, 1, 2, 0, 3, 0, 0, 0, 3, 0, 1, 0, 0, 2, 1, 0, 2, 0, 0, 0, 2, 3, 3, 2, 1, 2, 0, 0]"
"Expandable List item and Bottom Nav bar with Live, history, Stat, Check No. and More Items","[26913, 71973, 39561, 57289, 25280, 67017, 66142, 66671, 57276, 57280, 58855, 6005, 65240, 39861, 10746, 39563, 12215, 11346, 39551, 26915, 57274, 54259, 56151, 8748, 12265, 49543, 49538, 54249, 71608, 22727]","[2, 3, 3, 0, 1, 0, 3, 3, 0, 0, 3, 0, 0, 3, 0, 3, 3, 0, 3, 0, 0, 3, 3, 0, 3, 3, 0, 3, 3, 1]"
find your current location,"[42138, 67379, 57775, 62521, 66356, 28541, 22008, 20317, 49233, 62457, 27469, 70543, 8706, 36305, 57777, 32832, 3739, 66927, 40679, 20962, 16129, 43245, 24591, 49229, 12036, 51735, 37281, 48309, 51730, 28770]","[1, 0, 2, 0, 0, 1, 2, 1, 3, 0, 0, 0, 0, 0, 3, 2, 2, 0, 0, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0]"
arabican news overview with articles,"[52520, 22059, 8522, 27544, 68523, 55542, 48754, 52513, 10428, 67984, 68520, 55540, 44253, 36615, 5907, 25989, 22381, 10777, 10809, 36610, 8214, 9553, 36594, 44256, 34318, 36559, 12033, 10803, 26779, 48736]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
File explorer with recently accessed image files sorted chronologically,"[52282, 18786, 54839, 5634, 24563, 47520, 27857, 15908, 54836, 55080, 38026, 54739, 48733, 60738, 47515, 54738, 64858, 17087, 18782, 8855, 17083, 51541, 47058, 18784, 67971, 8853, 18781, 25311, 47059, 23988]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
trending page,"[59599, 41406, 50095, 55713, 43752, 65007, 29783, 33055, 13923, 55715, 41402, 43663, 13879, 33043, 65015, 13880, 29710, 9161, 38911, 40125, 48240, 62118, 36458, 9154, 37681, 41400, 44708, 37665, 41401, 2131]","[2, 0, 3, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 2, 3, 0, 2, 0, 2, 1, 3, 0, 2, 3, 1, 0, 3, 1]"
Product listing with main filter,"[28092, 4243, 4238, 67583, 71125, 69273, 63630, 21045, 63633, 24219, 21049, 69254, 67579, 4241, 69267, 32426, 69328, 69258, 24220, 71129, 32422, 51324, 24214, 69265, 65920, 7605, 69261, 20638, 7613, 69278]","[0, 2, 2, 0, 2, 1, 1, 3, 1, 2, 1, 1, 0, 0, 1, 2, 1, 1, 0, 0, 2, 0, 1, 1, 3, 1, 1, 0, 1, 1]"
headlines tody,"[25862, 58168, 15959, 65391, 39484, 7270, 49577, 51159, 65397, 54133, 63435, 7269, 26931, 29800, 39482, 64127, 41747, 53212, 64316, 16846, 40963, 64120, 57080, 23908, 10033, 53208, 61561, 26933, 58346, 69983]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 3, 3, 2, 0, 3, 3, 0, 2, 2, 2, 2, 2, 3, 2]"
login screen with email and password or via facebook or google,"[34164, 45861, 65080, 4305, 36857, 38443, 5490, 51279, 49815, 49245, 40459, 54590, 49238, 41554, 10894, 30191, 315, 64548, 23735, 37945, 22253, 32500, 701, 67194, 29606, 7293, 46670, 50472, 5028, 48089]","[2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2]"
"Text (story) reading with formatting options, search functionality","[27223, 25997, 34387, 55035, 65018, 16381, 51704, 7355, 70305, 64849, 26008, 24019, 39739, 27103, 24012, 13547, 24136, 16378, 17595, 6287, 54135, 46645, 49611, 54134, 27506, 26002, 24016, 32946, 49612, 24015]","[2, 0, 1, 0, 0, 1, 0, 0, 1, 0, 3, 3, 0, 0, 3, 0, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0]"
expense manager,"[48868, 67408, 67397, 36872, 67410, 35873, 12883, 67407, 12876, 12860, 67405, 16823, 12873, 12877, 8463, 67404, 67406, 35518, 12880, 67409, 8462, 26054, 49085, 43696, 64621, 67394, 43708, 35872, 67396, 29946]","[3, 3, 2, 0, 2, 2, 0, 2, 0, 0, 1, 2, 0, 1, 1, 1, 2, 1, 1, 0, 2, 2, 0, 2, 0, 0, 1, 2, 1, 0]"
login with username and password,"[41866, 68460, 46750, 19929, 7910, 24026, 47181, 46978, 39480, 14549, 7902, 40946, 5870, 14085, 29509, 41260, 71849, 72145, 43199, 39242, 28820, 46748, 43615, 46746, 11634, 25643, 43386, 51629, 60365, 3254]","[2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2]"
Music playlist,"[44035, 10940, 5209, 70552, 70553, 55481, 66163, 55665, 45113, 9981, 65682, 58693, 2119, 55482, 53826, 39041, 50232, 53824, 34334, 71958, 14672, 17621, 71954, 50228, 26477, 18213, 494, 860, 71946, 52900]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 0, 1, 0, 0]"
